x,y,z,row,col
-1113.32,0.00,-1110.78,0,0
-1084.07,0.00,-1110.99,0,1
-1054.82,0.00,-1111.21,0,2
-1025.58,0.00,-1111.42,0,3
-996.33,0.00,-1111.64,0,4
-967.09,0.00,-1111.85,0,5
-937.84,0.00,-1112.07,0,6
-908.59,0.00,-1112.28,0,7
-879.35,0.00,-1112.50,0,8
-850.10,0.00,-1112.71,0,9
-820.86,0.00,-1112.93,0,10
-791.61,0.00,-1113.14,0,11
-762.36,0.00,-1113.36,0,12
-733.12,0.00,-1113.57,0,13
-703.87,0.00,-1113.79,0,14
-674.63,0.00,-1114.00,0,15
-645.38,0.00,-1114.22,0,16
-616.13,0.00,-1114.43,0,17
-586.89,6.65,-1114.65,0,18
-557.64,6.78,-1114.86,0,19
-528.40,6.59,-1115.08,0,20
-499.15,6.71,-1115.29,0,21
-469.90,6.87,-1115.51,0,22
-440.66,7.05,-1115.72,0,23
-411.41,7.53,-1115.94,0,24
-382.16,8.79,-1116.15,0,25
-352.92,9.18,-1116.37,0,26
-323.67,9.04,-1116.59,0,27
-294.43,9.18,-1116.80,0,28
-265.18,9.66,-1117.02,0,29
-235.93,9.72,-1117.23,0,30
-206.69,9.72,-1117.45,0,31
-177.44,9.70,-1117.66,0,32
-148.20,9.69,-1117.88,0,33
-118.95,9.90,-1118.09,0,34
-89.70,9.67,-1118.31,0,35
-60.46,9.83,-1118.53,0,36
-31.21,9.63,-1118.74,0,37
-1.97,9.52,-1118.96,0,38
27.28,9.66,-1119.17,0,39
56.53,9.31,-1119.39,0,40
85.77,9.27,-1119.60,0,41
115.02,9.03,-1119.82,0,42
144.27,9.07,-1120.04,0,43
173.51,8.93,-1120.25,0,44
202.76,8.92,-1120.47,0,45
232.00,8.87,-1120.68,0,46
261.25,8.90,-1120.90,0,47
290.50,8.96,-1121.12,0,48
319.74,9.06,-1121.33,0,49
348.99,9.16,-1121.55,0,50
378.23,9.49,-1121.77,0,51
407.48,9.77,-1121.98,0,52
436.73,10.16,-1122.20,0,53
465.97,10.00,-1122.41,0,54
495.22,10.20,-1122.63,0,55
524.47,10.90,-1122.85,0,56
553.71,11.23,-1123.06,0,57
582.96,11.35,-1123.28,0,58
612.20,11.53,-1123.50,0,59
641.45,12.24,-1123.71,0,60
670.70,12.63,-1123.93,0,61
699.94,13.71,-1124.15,0,62
729.19,14.76,-1124.36,0,63
758.44,16.47,-1124.58,0,64
787.68,16.47,-1124.80,0,65
816.93,16.80,-1125.01,0,66
846.17,17.19,-1125.23,0,67
875.42,18.19,-1125.45,0,68
904.67,17.62,-1125.66,0,69
933.91,19.50,-1125.88,0,70
963.16,20.24,-1126.10,0,71
992.41,20.76,-1126.31,0,72
1021.65,21.17,-1126.53,0,73
1050.90,21.50,-1126.75,0,74
-1113.10,0.00,-1080.96,1,0
-1083.85,0.00,-1081.18,1,1
-1054.61,0.00,-1081.39,1,2
-1025.36,0.00,-1081.61,1,3
-996.11,0.00,-1081.82,1,4
-966.87,0.00,-1082.04,1,5
-937.62,0.00,-1082.25,1,6
-908.37,0.00,-1082.47,1,7
-879.13,0.00,-1082.68,1,8
-849.88,0.00,-1082.90,1,9
-820.64,0.00,-1083.11,1,10
-791.39,0.00,-1083.33,1,11
-762.14,0.00,-1083.54,1,12
-732.90,0.00,-1083.76,1,13
-703.65,0.00,-1083.97,1,14
-674.41,0.00,-1084.19,1,15
-645.16,0.00,-1084.40,1,16
-615.91,0.00,-1084.62,1,17
-586.67,6.55,-1084.83,1,18
-557.42,6.97,-1085.05,1,19
-528.18,7.77,-1085.26,1,20
-498.93,7.79,-1085.48,1,21
-469.68,7.82,-1085.69,1,22
-440.44,8.57,-1085.91,1,23
-411.19,8.41,-1086.12,1,24
-381.95,8.55,-1086.34,1,25
-352.70,9.18,-1086.55,1,26
-323.45,9.78,-1086.77,1,27
-294.21,10.21,-1086.98,1,28
-264.96,9.92,-1087.20,1,29
-235.71,10.10,-1087.42,1,30
-206.47,10.10,-1087.63,1,31
-177.22,9.63,-1087.85,1,32
-147.98,9.47,-1088.06,1,33
-118.73,9.67,-1088.28,1,34
-89.48,9.57,-1088.49,1,35
-60.24,9.59,-1088.71,1,36
-30.99,9.47,-1088.92,1,37
-1.75,9.72,-1089.14,1,38
27.50,9.37,-1089.36,1,39
56.75,8.94,-1089.57,1,40
85.99,9.20,-1089.79,1,41
115.24,9.07,-1090.00,1,42
144.49,8.95,-1090.22,1,43
173.73,8.93,-1090.44,1,44
202.98,8.96,-1090.65,1,45
232.22,8.90,-1090.87,1,46
261.47,8.93,-1091.08,1,47
290.72,9.03,-1091.30,1,48
319.96,9.07,-1091.52,1,49
349.21,9.17,-1091.73,1,50
378.46,9.46,-1091.95,1,51
407.70,9.77,-1092.16,1,52
436.95,9.76,-1092.38,1,53
466.19,10.07,-1092.60,1,54
495.44,10.32,-1092.81,1,55
524.69,10.77,-1093.03,1,56
553.93,10.93,-1093.25,1,57
583.18,11.18,-1093.46,1,58
612.43,11.50,-1093.68,1,59
641.67,12.36,-1093.90,1,60
670.92,12.59,-1094.11,1,61
700.16,13.33,-1094.33,1,62
729.41,15.42,-1094.55,1,63
758.66,16.15,-1094.76,1,64
787.90,16.15,-1094.98,1,65
817.15,17.21,-1095.19,1,66
846.40,17.61,-1095.41,1,67
875.64,18.42,-1095.63,1,68
904.89,18.99,-1095.84,1,69
934.13,19.94,-1096.06,1,70
963.38,20.44,-1096.28,1,71
992.63,21.06,-1096.50,1,72
1021.87,21.20,-1096.71,1,73
1051.12,21.83,-1096.93,1,74
-1112.88,0.00,-1051.15,2,0
-1083.63,0.00,-1051.36,2,1
-1054.39,0.00,-1051.58,2,2
-1025.14,0.00,-1051.79,2,3
-995.89,0.00,-1052.00,2,4
-966.65,0.00,-1052.22,2,5
-937.40,0.00,-1052.43,2,6
-908.16,0.00,-1052.65,2,7
-878.91,0.00,-1052.86,2,8
-849.66,0.00,-1053.08,2,9
-820.42,0.00,-1053.29,2,10
-791.17,0.00,-1053.51,2,11
-761.93,0.00,-1053.72,2,12
-732.68,0.00,-1053.94,2,13
-703.43,0.00,-1054.15,2,14
-674.19,0.00,-1054.37,2,15
-644.94,0.00,-1054.58,2,16
-615.69,6.12,-1054.80,2,17
-586.45,6.22,-1055.01,2,18
-557.20,6.14,-1055.23,2,19
-527.96,7.71,-1055.44,2,20
-498.71,7.56,-1055.66,2,21
-469.46,10.99,-1055.87,2,22
-440.22,8.26,-1056.09,2,23
-410.97,8.73,-1056.31,2,24
-381.73,9.16,-1056.52,2,25
-352.48,9.19,-1056.74,2,26
-323.23,10.06,-1056.95,2,27
-293.99,10.05,-1057.17,2,28
-264.74,9.56,-1057.38,2,29
-235.49,10.17,-1057.60,2,30
-206.25,10.17,-1057.81,2,31
-177.00,9.11,-1058.03,2,32
-147.76,9.05,-1058.25,2,33
-118.51,9.26,-1058.46,2,34
-89.26,8.80,-1058.68,2,35
-60.02,9.11,-1058.89,2,36
-30.77,8.87,-1059.11,2,37
-1.53,9.32,-1059.32,2,38
27.72,9.18,-1059.54,2,39
56.97,9.23,-1059.76,2,40
86.21,8.81,-1059.97,2,41
115.46,8.88,-1060.19,2,42
144.71,8.91,-1060.40,2,43
173.95,8.90,-1060.62,2,44
203.20,8.97,-1060.83,2,45
232.44,8.99,-1061.05,2,46
261.69,9.03,-1061.27,2,47
