x,y,z
-1003.94,17.00,-1006.44
-974.70,18.00,-1006.44
-945.47,16.00,-1006.44
-916.23,14.00,-1006.44
-887.00,13.00,-1006.44
-857.76,12.00,-1006.44
-828.52,12.00,-1006.44
-799.29,11.00,-1006.44
-770.05,11.00,-1006.44
-740.82,11.00,-1006.44
-711.58,10.00,-1006.44
-682.34,9.00,-1006.44
-653.11,8.00,-1006.44
-623.87,8.00,-1006.44
-594.63,7.00,-1006.44
-565.40,6.00,-1006.44
-536.16,7.00,-1006.44
-506.93,7.00,-1006.44
-477.69,7.00,-1006.44
-448.45,7.00,-1006.44
-419.22,5.00,-1006.44
-389.98,4.00,-1006.44
-360.75,4.00,-1006.44
-331.51,4.00,-1006.44
-302.27,5.00,-1006.44
-273.04,6.00,-1006.44
-243.80,6.00,-1006.44
-214.56,7.00,-1006.44
-185.33,9.00,-1006.44
-156.09,9.00,-1006.44
-126.86,9.00,-1006.44
-97.62,8.00,-1006.44
-68.38,7.00,-1006.44
-39.15,7.00,-1006.44
-9.91,7.00,-1006.44
19.32,6.00,-1006.44
48.56,7.00,-1006.44
77.80,7.00,-1006.44
107.03,7.00,-1006.44
136.27,7.00,-1006.44
165.51,8.00,-1006.44
194.74,8.00,-1006.44
223.98,9.00,-1006.44
253.21,10.00,-1006.44
282.45,11.00,-1006.44
311.69,13.00,-1006.44
340.92,14.00,-1006.44
370.16,14.00,-1006.44
399.39,13.00,-1006.44
428.63,14.00,-1006.44
457.87,14.00,-1006.44
487.10,15.00,-1006.44
516.34,16.00,-1006.44
545.58,15.00,-1006.44
574.81,13.00,-1006.44
604.05,12.00,-1006.44
633.28,13.00,-1006.44
662.52,12.00,-1006.44
691.76,10.00,-1006.44
720.99,9.00,-1006.44
750.23,9.00,-1006.44
779.46,7.00,-1006.44
808.70,8.00,-1006.44
837.94,8.00,-1006.44
867.17,8.00,-1006.44
896.41,7.00,-1006.44
925.65,8.00,-1006.44
954.88,8.00,-1006.44
984.12,8.00,-1006.44
-1003.94,18.00,-976.44
-974.70,18.00,-976.44
-945.47,16.00,-976.44
-916.23,14.00,-976.44
-887.00,14.00,-976.44
-857.76,14.00,-976.44
-828.52,14.00,-976.44
-799.29,12.00,-976.44
-770.05,11.00,-976.44
-740.82,11.00,-976.44
-711.58,9.00,-976.44
-682.34,8.00,-976.44
-653.11,8.00,-976.44
-623.87,9.00,-976.44
-594.63,9.00,-976.44
-565.40,7.00,-976.44
-536.16,7.00,-976.44
-506.93,8.00,-976.44
-477.69,8.00,-976.44
-448.45,8.00,-976.44
-419.22,7.00,-976.44
-389.98,4.00,-976.44
-360.75,4.00,-976.44
-331.51,4.00,-976.44
-302.27,3.00,-976.44
-273.04,4.00,-976.44
-243.80,6.00,-976.44
-214.56,8.00,-976.44
-185.33,12.00,-976.44
-156.09,13.00,-976.44
-126.86,13.00,-976.44
-97.62,11.00,-976.44
-68.38,9.00,-976.44
-39.15,8.00,-976.44
-9.91,8.00,-976.44
19.32,7.00,-976.44
48.56,6.00,-976.44
77.80,7.00,-976.44
107.03,6.00,-976.44
136.27,7.00,-976.44
165.51,8.00,-976.44
