x,y,z
-1953.14,39.00,-1781.12
-1923.90,40.00,-1781.12
-1894.65,38.00,-1781.12
-1865.41,39.00,-1781.12
-1836.17,40.00,-1781.12
-1806.93,43.00,-1781.12
-1777.69,46.12,-1781.12
-1748.44,47.00,-1781.12
-1719.20,49.00,-1781.12
-1689.96,48.00,-1781.12
-1660.72,51.00,-1781.12
-1631.47,59.00,-1781.12
-1602.23,69.00,-1781.12
-1572.99,78.00,-1781.12
-1543.75,86.00,-1781.12
-1514.51,92.00,-1781.12
-1485.26,92.00,-1781.12
-1456.02,84.00,-1781.12
-1426.78,75.00,-1781.12
-1397.54,60.00,-1781.12
-1368.29,48.00,-1781.12
-1339.05,40.00,-1781.12
-1309.81,33.00,-1781.12
-1280.57,24.00,-1781.12
-1251.33,16.00,-1781.12
-1222.08,12.00,-1781.12
-1192.84,12.00,-1781.12
-1163.60,14.00,-1781.12
-1134.36,14.00,-1781.12
-1105.11,14.00,-1781.12
-1075.87,15.00,-1781.12
-1046.63,13.00,-1781.12
-1017.39,12.08,-1781.12
-988.14,11.00,-1781.12
-958.90,12.00,-1781.12
-929.66,10.00,-1781.12
-900.42,9.00,-1781.12
-871.18,9.63,-1781.12
-841.93,9.00,-1781.12
-812.69,9.00,-1781.12
-783.45,10.00,-1781.12
-754.21,10.00,-1781.12
-724.96,11.00,-1781.12
-695.72,11.00,-1781.12
-666.48,11.00,-1781.12
-637.24,11.90,-1781.12
-608.00,13.00,-1781.12
-578.75,14.00,-1781.12
-549.51,14.00,-1781.12
-520.27,12.89,-1781.12
-491.03,16.00,-1781.12
-461.78,17.00,-1781.12
-432.54,16.00,-1781.12
-403.30,15.00,-1781.12
-374.06,14.00,-1781.12
-344.82,12.00,-1781.12
-315.57,10.00,-1781.12
-286.33,10.00,-1781.12
-257.09,10.01,-1781.12
-227.85,10.00,-1781.12
-198.60,12.00,-1781.12
-169.36,11.39,-1781.12
-140.12,14.00,-1781.12
-110.88,14.00,-1781.12
-81.64,12.00,-1781.12
-52.39,11.00,-1781.12
-23.15,10.00,-1781.12
6.09,12.00,-1781.12
35.33,13.00,-1781.12
64.58,12.00,-1781.12
93.82,10.00,-1781.12
123.06,9.00,-1781.12
152.30,9.00,-1781.12
181.54,9.00,-1781.12
210.79,9.00,-1781.12
240.03,10.30,-1781.12
269.27,11.00,-1781.12
298.51,13.00,-1781.12
327.76,13.00,-1781.12
357.00,12.00,-1781.12
386.24,10.00,-1781.12
415.48,11.00,-1781.12
444.72,13.00,-1781.12
473.97,12.00,-1781.12
503.21,12.00,-1781.12
532.45,12.00,-1781.12
561.69,12.00,-1781.12
590.94,13.00,-1781.12
620.18,14.00,-1781.12
649.42,14.00,-1781.12
678.66,15.00,-1781.12
707.91,15.00,-1781.12
737.15,15.00,-1781.12
766.39,16.00,-1781.12
795.63,15.09,-1781.12
824.87,14.88,-1781.12
854.12,14.00,-1781.12
883.36,14.68,-1781.12
912.60,15.00,-1781.12
941.84,14.58,-1781.12
971.09,15.00,-1781.12
1000.33,14.28,-1781.12
1029.57,14.00,-1781.12
1058.81,14.00,-1781.12
1088.05,13.00,-1781.12
1117.30,13.00,-1781.12
1146.54,14.00,-1781.12
1175.78,14.20,-1781.12
1205.02,14.00,-1781.12
1234.27,14.00,-1781.12
1263.51,16.00,-1781.12
1292.75,13.66,-1781.12
1321.99,12.00,-1781.12
1351.23,9.00,-1781.12
1380.48,9.00,-1781.12
1409.72,9.00,-1781.12
1438.96,12.00,-1781.12
1468.20,12.00,-1781.12
1497.45,9.74,-1781.12
1526.69,9.00,-1781.12
1555.93,10.00,-1781.12
1585.17,10.00,-1781.12
1614.41,10.00,-1781.12
1643.66,11.00,-1781.12
1672.90,9.94,-1781.12
1702.14,10.00,-1781.12
1731.38,10.00,-1781.12
1760.63,11.00,-1781.12
1789.87,12.00,-1781.12
1819.11,13.13,-1781.12
1848.35,14.03,-1781.12
1877.59,15.00,-1781.12
1906.84,15.00,-1781.12
1936.08,15.00,-1781.12
-1953.14,41.00,-1751.12
-1923.90,40.00,-1751.12
-1894.65,40.00,-1751.12
-1865.41,40.00,-1751.12
-1836.17,43.00,-1751.12
-1806.93,46.00,-1751.12
-1777.69,46.98,-1751.12
-1748.44,48.71,-1751.12
-1719.20,49.00,-1751.12
-1689.96,49.00,-1751.12
-1660.72,50.00,-1751.12
-1631.47,56.00,-1751.12
-1602.23,68.00,-1751.12
-1572.99,78.00,-1751.12
-1543.75,88.00,-1751.12
-1514.51,95.00,-1751.12
-1485.26,94.00,-1751.12
-1456.02,87.00,-1751.12
-1426.78,77.00,-1751.12
-1397.54,67.00,-1751.12
-1368.29,54.00,-1751.12
-1339.05,42.00,-1751.12
-1309.81,37.00,-1751.12
-1280.57,27.00,-1751.12
-1251.33,20.00,-1751.12
-1222.08,15.00,-1751.12
-1192.84,12.00,-1751.12
-1163.60,12.00,-1751.12
-1134.36,14.00,-1751.12
-1105.11,14.01,-1751.12
-1075.87,14.00,-1751.12
-1046.63,12.00,-1751.12
-1017.39,11.97,-1751.12
-988.14,11.40,-1751.12
-958.90,11.00,-1751.12
