x,y,z
-1007.46,35.00,-1003.53
-978.21,36.00,-1003.53
-948.97,34.00,-1003.53
-919.73,36.00,-1003.53
-890.48,37.00,-1003.53
-861.24,36.00,-1003.53
-831.99,36.00,-1003.53
-802.75,39.00,-1003.53
-773.51,41.00,-1003.53
-744.26,42.00,-1003.53
-715.02,43.00,-1003.53
-685.77,44.00,-1003.53
-656.53,46.00,-1003.53
-627.29,47.00,-1003.53
-598.04,47.00,-1003.53
-568.80,46.00,-1003.53
-539.56,45.00,-1003.53
-510.31,45.00,-1003.53
-481.07,46.00,-1003.53
-451.82,46.00,-1003.53
-422.58,46.00,-1003.53
-393.34,46.00,-1003.53
-364.09,46.00,-1003.53
-334.85,48.00,-1003.53
-305.60,50.00,-1003.53
-276.36,53.00,-1003.53
-247.12,53.00,-1003.53
-217.87,52.00,-1003.53
-188.63,54.00,-1003.53
-159.39,53.00,-1003.53
-130.14,52.00,-1003.53
-100.90,52.00,-1003.53
-71.65,54.00,-1003.53
-42.41,55.00,-1003.53
-13.17,56.00,-1003.53
16.08,58.00,-1003.53
45.32,58.00,-1003.53
74.57,57.00,-1003.53
103.81,58.00,-1003.53
133.05,58.00,-1003.53
162.30,56.00,-1003.53
191.54,54.00,-1003.53
220.79,54.00,-1003.53
250.03,57.00,-1003.53
279.27,58.00,-1003.53
308.52,57.00,-1003.53
337.76,56.00,-1003.53
367.00,57.00,-1003.53
396.25,57.00,-1003.53
425.49,56.00,-1003.53
454.74,57.00,-1003.53
483.98,58.00,-1003.53
513.22,59.00,-1003.53
542.47,59.00,-1003.53
571.71,59.00,-1003.53
600.96,59.00,-1003.53
630.20,58.00,-1003.53
659.44,58.00,-1003.53
688.69,61.00,-1003.53
717.93,64.00,-1003.53
747.18,65.00,-1003.53
776.42,64.00,-1003.53
805.66,64.00,-1003.53
834.91,64.00,-1003.53
864.15,62.00,-1003.53
893.39,61.00,-1003.53
922.64,63.00,-1003.53
951.88,65.00,-1003.53
981.13,67.00,-1003.53
-1007.46,35.00,-973.53
-978.21,34.00,-973.53
-948.97,33.00,-973.53
-919.73,34.00,-973.53
-890.48,35.00,-973.53
-861.24,34.00,-973.53
-831.99,34.00,-973.53
-802.75,38.00,-973.53
-773.51,40.00,-973.53
-744.26,41.00,-973.53
-715.02,41.00,-973.53
-685.77,41.00,-973.53
-656.53,43.00,-973.53
-627.29,46.00,-973.53
-598.04,47.00,-973.53
-568.80,46.00,-973.53
-539.56,45.00,-973.53
-510.31,46.00,-973.53
-481.07,46.00,-973.53
-451.82,46.00,-973.53
-422.58,47.00,-973.53
-393.34,47.00,-973.53
-364.09,47.00,-973.53
-334.85,47.00,-973.53
-305.60,49.00,-973.53
-276.36,51.00,-973.53
-247.12,51.00,-973.53
-217.87,52.00,-973.53
-188.63,54.00,-973.53
-159.39,54.00,-973.53
-130.14,52.00,-973.53
-100.90,52.00,-973.53
-71.65,54.00,-973.53
-42.41,55.00,-973.53
-13.17,57.00,-973.53
16.08,59.00,-973.53
45.32,58.00,-973.53
74.57,56.00,-973.53
103.81,58.00,-973.53
133.05,58.00,-973.53
162.30,56.00,-973.53
191.54,55.00,-973.53
220.79,56.00,-973.53
250.03,58.00,-973.53
279.27,58.00,-973.53
308.52,57.00,-973.53
337.76,56.00,-973.53
367.00,56.00,-973.53
396.25,57.00,-973.53
425.49,57.00,-973.53
454.74,59.00,-973.53
483.98,61.00,-973.53
513.22,61.00,-973.53
542.47,61.00,-973.53
571.71,61.00,-973.53
600.96,60.00,-973.53
630.20,61.00,-973.53
659.44,60.00,-973.53
688.69,59.00,-973.53
717.93,62.00,-973.53
747.18,64.00,-973.53
776.42,65.00,-973.53
805.66,63.00,-973.53
834.91,62.00,-973.53
864.15,62.00,-973.53
893.39,63.00,-973.53
922.64,64.00,-973.53
951.88,66.00,-973.53
981.13,67.00,-973.53
-1007.46,33.00,-943.53
-978.21,34.00,-943.53
-948.97,34.00,-943.53
-919.73,34.00,-943.53
-890.48,34.00,-943.53
-861.24,32.00,-943.53
-831.99,33.00,-943.53
-802.75,37.00,-943.53
-773.51,38.00,-943.53
-744.26,38.00,-943.53
-715.02,38.00,-943.53
-685.77,39.00,-943.53
-656.53,40.00,-943.53
-627.29,43.00,-943.53
-598.04,44.00,-943.53
-568.80,44.00,-943.53
-539.56,45.00,-943.53
-510.31,47.00,-943.53
-481.07,47.00,-943.53
-451.82,47.00,-943.53
-422.58,46.00,-943.53
-393.34,46.00,-943.53
-364.09,45.00,-943.53
-334.85,45.00,-943.53
-305.60,47.00,-943.53
-276.36,49.00,-943.53
-247.12,51.00,-943.53
-217.87,52.00,-943.53
-188.63,54.00,-943.53
-159.39,54.00,-943.53
-130.14,53.00,-943.53
-100.90,52.00,-943.53
-71.65,54.00,-943.53
-42.41,55.00,-943.53
-13.17,56.00,-943.53
16.08,57.00,-943.53
45.32,56.00,-943.53
74.57,55.00,-943.53
103.81,57.00,-943.53
133.05,58.00,-943.53
162.30,56.00,-943.53
191.54,56.00,-943.53
220.79,57.00,-943.53
250.03,58.00,-943.53
279.27,58.00,-943.53
308.52,57.00,-943.53
337.76,56.00,-943.53
367.00,56.00,-943.53
396.25,56.00,-943.53
425.49,58.00,-943.53
454.74,61.00,-943.53
483.98,63.00,-943.53
513.22,62.00,-943.53
542.47,62.00,-943.53
571.71,61.00,-943.53
600.96,61.00,-943.53
630.20,62.00,-943.53
659.44,62.00,-943.53
688.69,60.00,-943.53
717.93,61.00,-943.53
747.18,63.00,-943.53
776.42,63.00,-943.53
805.66,62.00,-943.53
834.91,62.00,-943.53
864.15,64.00,-943.53
893.39,65.00,-943.53
922.64,66.00,-943.53
951.88,67.00,-943.53
981.13,67.00,-943.53
-1007.46,32.00,-913.53
-978.21,34.00,-913.53
-948.97,34.00,-913.53
-919.73,35.00,-913.53
-890.48,33.00,-913.53
-861.24,31.00,-913.53
-831.99,32.00,-913.53
-802.75,37.00,-913.53
-773.51,37.00,-913.53
-744.26,35.00,-913.53
-715.02,36.00,-913.53
-685.77,38.00,-913.53
-656.53,39.00,-913.53
-627.29,41.00,-913.53
-598.04,43.00,-913.53
-568.80,43.00,-913.53
-539.56,44.00,-913.53
-510.31,46.00,-913.53
-481.07,46.00,-913.53
-451.82,46.00,-913.53
-422.58,45.00,-913.53
-393.34,44.00,-913.53
-364.09,44.00,-913.53
-334.85,45.00,-913.53
-305.60,46.00,-913.53
-276.36,49.00,-913.53
-247.12,50.00,-913.53
-217.87,51.00,-913.53
-188.63,52.00,-913.53
-159.39,52.00,-913.53
-130.14,52.00,-913.53
-100.90,52.00,-913.53
-71.65,53.00,-913.53
-42.41,54.00,-913.53
-13.17,54.00,-913.53
16.08,55.00,-913.53
45.32,54.00,-913.53
74.57,55.00,-913.53
103.81,57.00,-913.53
133.05,56.00,-913.53
162.30,55.00,-913.53
191.54,55.00,-913.53
220.79,57.00,-913.53
250.03,57.00,-913.53
279.27,58.00,-913.53
308.52,57.00,-913.53
337.76,56.00,-913.53
367.00,56.00,-913.53
396.25,57.00,-913.53
425.49,59.00,-913.53
454.74,62.00,-913.53
483.98,62.00,-913.53
513.22,62.00,-913.53
542.47,62.00,-913.53
571.71,60.00,-913.53
600.96,59.00,-913.53
630.20,60.00,-913.53
659.44,61.00,-913.53
688.69,61.00,-913.53
717.93,61.00,-913.53
747.18,62.00,-913.53
776.42,63.00,-913.53
805.66,63.00,-913.53
834.91,64.00,-913.53
864.15,66.00,-913.53
893.39,65.00,-913.53
922.64,65.00,-913.53
951.88,66.00,-913.53
981.13,66.00,-913.53
-1007.46,30.00,-883.53
-978.21,31.00,-883.53
-948.97,33.00,-883.53
-919.73,34.00,-883.53
-890.48,32.00,-883.53
-861.24,31.00,-883.53
-831.99,33.00,-883.53
-802.75,37.00,-883.53
-773.51,38.00,-883.53
-744.26,36.00,-883.53
-715.02,36.00,-883.53
-685.77,38.00,-883.53
-656.53,39.00,-883.53
-627.29,41.00,-883.53
-598.04,42.00,-883.53
-568.80,42.00,-883.53
