x,y,z
-2820.79,0.00,-2504.70
-2791.55,0.00,-2504.70
-2762.31,0.00,-2504.70
-2733.07,0.00,-2504.70
-2703.84,0.00,-2504.70
-2674.60,0.00,-2504.70
-2645.36,0.00,-2504.70
-2616.12,0.00,-2504.70
-2586.88,0.00,-2504.70
-2557.65,0.00,-2504.70
-2528.41,0.00,-2504.70
-2499.17,0.00,-2504.70
-2469.93,0.00,-2504.70
-2440.69,0.00,-2504.70
-2411.46,0.00,-2504.70
-2382.22,0.00,-2504.70
-2352.98,0.00,-2504.70
-2323.74,0.00,-2504.70
-2294.50,0.00,-2504.70
-2265.27,0.00,-2504.70
-2236.03,0.00,-2504.70
-2206.79,0.00,-2504.70
-2177.55,0.00,-2504.70
-2148.31,0.00,-2504.70
-2119.08,0.00,-2504.70
-2089.84,0.00,-2504.70
-2060.60,0.00,-2504.70
-2031.36,0.00,-2504.70
-2002.13,0.00,-2504.70
-1972.89,0.00,-2504.70
-1943.65,0.00,-2504.70
-1914.41,0.00,-2504.70
-1885.17,0.00,-2504.70
-1855.94,0.00,-2504.70
-1826.70,0.00,-2504.70
-1797.46,0.00,-2504.70
-1768.22,0.00,-2504.70
-1738.98,0.00,-2504.70
-1709.75,0.00,-2504.70
-1680.51,0.00,-2504.70
-1651.27,0.00,-2504.70
-1622.03,0.00,-2504.70
-1592.79,0.00,-2504.70
-1563.56,0.00,-2504.70
-1534.32,0.00,-2504.70
-1505.08,0.00,-2504.70
-1475.84,0.00,-2504.70
-1446.60,0.00,-2504.70
-1417.37,0.00,-2504.70
-1388.13,0.00,-2504.70
-1358.89,0.00,-2504.70
-1329.65,0.00,-2504.70
-1300.41,0.00,-2504.70
-1271.18,0.00,-2504.70
-1241.94,0.00,-2504.70
-1212.70,0.00,-2504.70
-1183.46,0.00,-2504.70
-1154.22,0.00,-2504.70
-1124.99,0.00,-2504.70
-1095.75,0.00,-2504.70
-1066.51,0.00,-2504.70
-1037.27,0.00,-2504.70
-1008.03,0.00,-2504.70
-978.80,0.00,-2504.70
-949.56,0.00,-2504.70
-920.32,0.00,-2504.70
-891.08,0.00,-2504.70
-861.84,0.00,-2504.70
-832.61,0.00,-2504.70
-803.37,0.00,-2504.70
-774.13,0.00,-2504.70
-744.89,0.00,-2504.70
-715.65,0.00,-2504.70
-686.42,0.00,-2504.70
-657.18,0.00,-2504.70
-627.94,0.00,-2504.70
-598.70,0.00,-2504.70
-569.46,9.00,-2504.70
-540.23,13.00,-2504.70
-510.99,15.00,-2504.70
-481.75,15.00,-2504.70
-452.51,15.00,-2504.70
-423.27,16.00,-2504.70
-394.04,18.00,-2504.70
-364.80,19.00,-2504.70
-335.56,19.00,-2504.70
-306.32,19.00,-2504.70
-277.09,19.00,-2504.70
-247.85,20.00,-2504.70
