x,y,z
-1024.74,16.00,-1027.38
-995.50,16.00,-1027.38
-966.26,16.00,-1027.38
-937.03,14.00,-1027.38
-907.79,14.00,-1027.38
-878.55,14.00,-1027.38
-849.32,14.00,-1027.38
-820.08,14.00,-1027.38
-790.84,15.00,-1027.38
-761.61,15.00,-1027.38
-732.37,15.00,-1027.38
-703.13,13.00,-1027.38
-673.90,11.00,-1027.38
-644.66,9.00,-1027.38
-615.42,9.00,-1027.38
-586.19,9.00,-1027.38
-556.95,9.00,-1027.38
-527.71,9.00,-1027.38
-498.48,8.00,-1027.38
-469.24,6.00,-1027.38
-440.00,5.00,-1027.38
-410.77,6.00,-1027.38
-381.53,6.00,-1027.38
-352.29,7.00,-1027.38
-323.06,8.00,-1027.38
-293.82,9.00,-1027.38
-264.58,8.00,-1027.38
-235.35,8.00,-1027.38
-206.11,7.00,-1027.38
-176.87,7.00,-1027.38
-147.64,8.00,-1027.38
-118.40,8.00,-1027.38
-89.16,8.00,-1027.38
-59.93,10.00,-1027.38
-30.69,12.00,-1027.38
-1.45,13.00,-1027.38
27.78,15.00,-1027.38
57.02,15.00,-1027.38
86.26,16.00,-1027.38
115.49,16.00,-1027.38
144.73,17.00,-1027.38
173.97,17.00,-1027.38
203.20,16.00,-1027.38
232.44,15.00,-1027.38
261.68,16.00,-1027.38
290.91,15.00,-1027.38
320.15,15.00,-1027.38
349.39,15.00,-1027.38
378.62,16.00,-1027.38
407.86,17.00,-1027.38
437.10,14.00,-1027.38
466.33,10.00,-1027.38
495.57,8.00,-1027.38
524.81,9.00,-1027.38
554.04,11.00,-1027.38
583.28,11.00,-1027.38
612.52,11.00,-1027.38
641.75,10.00,-1027.38
670.99,9.00,-1027.38
700.23,9.00,-1027.38
729.46,9.00,-1027.38
758.70,11.00,-1027.38
787.94,13.00,-1027.38
817.17,14.00,-1027.38
846.41,14.00,-1027.38
875.65,13.00,-1027.38
904.88,12.00,-1027.38
934.12,12.00,-1027.38
963.36,13.00,-1027.38
992.59,14.00,-1027.38
-1024.74,16.00,-997.38
-995.50,16.00,-997.38
-966.26,16.00,-997.38
-937.03,14.00,-997.38
-907.79,14.00,-997.38
-878.55,14.00,-997.38
-849.32,14.00,-997.38
-820.08,15.00,-997.38
-790.84,16.00,-997.38
-761.61,16.00,-997.38
-732.37,15.00,-997.38
-703.13,13.00,-997.38
-673.90,11.00,-997.38
-644.66,10.00,-997.38
-615.42,10.00,-997.38
-586.19,9.00,-997.38
-556.95,9.00,-997.38
-527.71,9.00,-997.38
-498.48,8.00,-997.38
-469.24,7.00,-997.38
-440.00,7.00,-997.38
-410.77,7.00,-997.38
-381.53,6.00,-997.38
-352.29,6.00,-997.38
-323.06,8.00,-997.38
-293.82,8.00,-997.38
-264.58,7.00,-997.38
-235.35,7.00,-997.38
-206.11,7.00,-997.38
-176.87,8.00,-997.38
-147.64,9.00,-997.38
-118.40,10.00,-997.38
-89.16,10.00,-997.38
-59.93,11.00,-997.38
-30.69,13.00,-997.38
-1.45,13.00,-997.38
27.78,14.00,-997.38
57.02,15.00,-997.38
86.26,14.00,-997.38
115.49,16.00,-997.38
144.73,17.00,-997.38
