x,y,z
-1546.40,0.00,-1573.39
-1517.16,0.00,-1573.39
-1487.92,0.00,-1573.39
-1458.68,0.00,-1573.39
-1429.45,0.00,-1573.39
-1400.21,0.00,-1573.39
-1370.97,0.00,-1573.39
-1341.73,0.00,-1573.39
-1312.49,0.00,-1573.39
-1283.25,0.00,-1573.39
-1254.01,0.00,-1573.39
-1224.77,0.00,-1573.39
-1195.53,0.00,-1573.39
-1166.29,0.00,-1573.39
-1137.05,0.00,-1573.39
-1107.81,0.00,-1573.39
-1078.57,0.00,-1573.39
-1049.33,0.00,-1573.39
-1020.09,0.00,-1573.39
-990.85,0.00,-1573.39
-961.61,0.00,-1573.39
-932.37,0.00,-1573.39
-903.14,0.00,-1573.39
-873.90,0.00,-1573.39
-844.66,0.00,-1573.39
-815.42,0.00,-1573.39
-786.18,0.00,-1573.39
-756.94,0.00,-1573.39
-727.70,0.00,-1573.39
-698.46,0.00,-1573.39
-669.22,0.00,-1573.39
-639.98,0.00,-1573.39
-610.74,0.00,-1573.39
-581.50,0.00,-1573.39
-552.26,0.00,-1573.39
-523.02,0.00,-1573.39
-493.78,0.00,-1573.39
-464.54,0.00,-1573.39
-435.30,0.00,-1573.39
-406.06,0.00,-1573.39
-376.83,0.00,-1573.39
-347.59,0.00,-1573.39
-318.35,0.00,-1573.39
-289.11,0.00,-1573.39
-259.87,0.00,-1573.39
-230.63,0.00,-1573.39
-201.39,0.00,-1573.39
-172.15,0.00,-1573.39
-142.91,0.00,-1573.39
-113.67,0.00,-1573.39
-84.43,0.00,-1573.39
-55.19,0.00,-1573.39
-25.95,0.00,-1573.39
3.29,0.00,-1573.39
32.53,0.00,-1573.39
61.77,0.00,-1573.39
91.01,0.00,-1573.39
120.24,0.00,-1573.39
149.48,0.00,-1573.39
178.72,0.00,-1573.39
207.96,0.00,-1573.39
237.20,0.00,-1573.39
266.44,0.00,-1573.39
295.68,0.00,-1573.39
324.92,0.00,-1573.39
354.16,0.00,-1573.39
383.40,0.00,-1573.39
412.64,0.00,-1573.39
441.88,0.00,-1573.39
471.12,0.00,-1573.39
500.36,0.00,-1573.39
529.60,0.00,-1573.39
558.84,0.00,-1573.39
588.08,0.00,-1573.39
617.32,0.00,-1573.39
646.55,0.00,-1573.39
675.79,0.00,-1573.39
705.03,0.00,-1573.39
734.27,0.00,-1573.39
763.51,0.00,-1573.39
792.75,0.00,-1573.39
821.99,0.00,-1573.39
851.23,0.00,-1573.39
880.47,0.00,-1573.39
909.71,0.00,-1573.39
938.95,0.00,-1573.39
968.19,0.00,-1573.39
997.43,0.00,-1573.39
1026.67,0.00,-1573.39
1055.91,0.00,-1573.39
1085.15,0.00,-1573.39
1114.39,1.00,-1573.39
1143.63,8.00,-1573.39
1172.86,11.00,-1573.39
1202.10,15.00,-1573.39
1231.34,16.00,-1573.39
1260.58,18.00,-1573.39
1289.82,18.00,-1573.39
1319.06,17.00,-1573.39
1348.30,16.00,-1573.39
1377.54,18.00,-1573.39
1406.78,20.00,-1573.39
1436.02,20.00,-1573.39
1465.26,18.00,-1573.39
1494.50,18.00,-1573.39
-1546.40,0.00,-1543.39
-1517.16,0.00,-1543.39
-1487.92,0.00,-1543.39
-1458.68,0.00,-1543.39
-1429.45,0.00,-1543.39
-1400.21,0.00,-1543.39
-1370.97,0.00,-1543.39
-1341.73,0.00,-1543.39
-1312.49,0.00,-1543.39
-1283.25,0.00,-1543.39
-1254.01,0.00,-1543.39
-1224.77,0.00,-1543.39
-1195.53,0.00,-1543.39
-1166.29,0.00,-1543.39
-1137.05,0.00,-1543.39
-1107.81,0.00,-1543.39
-1078.57,0.00,-1543.39
-1049.33,0.00,-1543.39
-1020.09,0.00,-1543.39
-990.85,0.00,-1543.39
-961.61,0.00,-1543.39
-932.37,0.00,-1543.39
-903.14,0.00,-1543.39
-873.90,0.00,-1543.39
-844.66,0.00,-1543.39
-815.42,0.00,-1543.39
-786.18,0.00,-1543.39
-756.94,0.00,-1543.39
-727.70,0.00,-1543.39
-698.46,0.00,-1543.39
-669.22,0.00,-1543.39
