x,y,z
-999.33,0.00,-1007.35
-970.09,0.00,-1007.35
-940.85,0.00,-1007.35
-911.61,0.00,-1007.35
-882.37,0.00,-1007.35
-853.13,0.00,-1007.35
-823.89,0.00,-1007.35
-794.65,0.00,-1007.35
-765.41,0.00,-1007.35
-736.17,0.00,-1007.35
-706.93,0.00,-1007.35
-677.69,0.00,-1007.35
-648.45,0.00,-1007.35
-619.21,0.00,-1007.35
-589.97,0.00,-1007.35
-560.73,0.00,-1007.35
-531.49,0.00,-1007.35
-502.25,0.00,-1007.35
-473.01,0.00,-1007.35
-443.77,0.00,-1007.35
-414.53,0.00,-1007.35
-385.29,0.00,-1007.35
-356.05,0.00,-1007.35
-326.81,0.00,-1007.35
-297.57,0.00,-1007.35
-268.33,0.00,-1007.35
-239.09,0.00,-1007.35
-209.85,0.00,-1007.35
-180.61,0.00,-1007.35
-151.37,0.00,-1007.35
-122.13,0.00,-1007.35
-92.89,0.00,-1007.35
-63.65,0.00,-1007.35
-34.41,0.00,-1007.35
-5.17,0.00,-1007.35
24.07,0.00,-1007.35
53.31,0.00,-1007.35
82.55,0.00,-1007.35
111.79,0.00,-1007.35
141.03,0.00,-1007.35
170.27,0.00,-1007.35
199.51,0.00,-1007.35
228.74,0.00,-1007.35
257.98,0.00,-1007.35
287.22,0.00,-1007.35
316.46,0.00,-1007.35
345.70,0.00,-1007.35
374.94,0.00,-1007.35
404.18,0.00,-1007.35
433.42,0.00,-1007.35
462.66,0.00,-1007.35
491.90,0.00,-1007.35
521.14,0.00,-1007.35
550.38,0.00,-1007.35
579.62,0.00,-1007.35
608.86,0.00,-1007.35
638.10,0.00,-1007.35
667.34,0.00,-1007.35
696.58,0.00,-1007.35
725.82,0.00,-1007.35
755.06,0.00,-1007.35
784.30,0.00,-1007.35
813.54,0.00,-1007.35
842.78,0.00,-1007.35
872.02,0.00,-1007.35
901.26,1.00,-1007.35
930.50,1.00,-1007.35
959.74,2.00,-1007.35
988.98,6.00,-1007.35
-999.33,0.00,-977.35
-970.09,0.00,-977.35
-940.85,0.00,-977.35
-911.61,0.00,-977.35
-882.37,0.00,-977.35
-853.13,0.00,-977.35
-823.89,0.00,-977.35
-794.65,0.00,-977.35
-765.41,0.00,-977.35
-736.17,0.00,-977.35
-706.93,0.00,-977.35
-677.69,0.00,-977.35
-648.45,0.00,-977.35
-619.21,0.00,-977.35
-589.97,0.00,-977.35
-560.73,0.00,-977.35
-531.49,0.00,-977.35
-502.25,0.00,-977.35
-473.01,0.00,-977.35
-443.77,0.00,-977.35
-414.53,0.00,-977.35
-385.29,0.00,-977.35
-356.05,0.00,-977.35
-326.81,0.00,-977.35
-297.57,0.00,-977.35
-268.33,0.00,-977.35
-239.09,0.00,-977.35
-209.85,0.00,-977.35
-180.61,0.00,-977.35
-151.37,0.00,-977.35
-122.13,0.00,-977.35
-92.89,0.00,-977.35
-63.65,0.00,-977.35
-34.41,0.00,-977.35
-5.17,0.00,-977.35
24.07,0.00,-977.35
53.31,0.00,-977.35
82.55,0.00,-977.35
111.79,0.00,-977.35
141.03,0.00,-977.35
170.27,0.00,-977.35
199.51,0.00,-977.35
228.74,0.00,-977.35
257.98,0.00,-977.35
287.22,0.00,-977.35
316.46,0.00,-977.35
345.70,0.00,-977.35
374.94,0.00,-977.35
404.18,0.00,-977.35
433.42,0.00,-977.35
