x,y,z
-1023.26,11.00,-1031.86
-994.02,10.00,-1031.86
-964.78,11.00,-1031.86
-935.54,11.00,-1031.86
-906.30,12.00,-1031.86
-877.06,13.00,-1031.86
-847.82,13.00,-1031.86
-818.58,12.00,-1031.86
-789.34,12.00,-1031.86
-760.09,13.00,-1031.86
-730.85,14.00,-1031.86
-701.61,16.00,-1031.86
-672.37,16.00,-1031.86
-643.13,14.00,-1031.86
-613.89,12.00,-1031.86
-584.65,12.00,-1031.86
-555.41,9.00,-1031.86
-526.17,7.00,-1031.86
-496.92,7.00,-1031.86
-467.68,9.00,-1031.86
-438.44,11.00,-1031.86
-409.20,13.00,-1031.86
-379.96,13.00,-1031.86
-350.72,12.00,-1031.86
-321.48,11.00,-1031.86
-292.24,10.00,-1031.86
-263.00,10.00,-1031.86
-233.76,10.00,-1031.86
-204.51,10.00,-1031.86
-175.27,11.00,-1031.86
-146.03,11.00,-1031.86
-116.79,10.00,-1031.86
-87.55,10.00,-1031.86
-58.31,10.00,-1031.86
-29.07,11.00,-1031.86
0.17,11.00,-1031.86
29.41,11.00,-1031.86
58.66,11.00,-1031.86
87.90,10.00,-1031.86
117.14,11.00,-1031.86
146.38,11.00,-1031.86
175.62,12.00,-1031.86
204.86,13.00,-1031.86
234.10,11.00,-1031.86
263.34,11.00,-1031.86
292.58,12.00,-1031.86
321.83,12.00,-1031.86
351.07,12.00,-1031.86
380.31,12.00,-1031.86
409.55,12.00,-1031.86
438.79,13.00,-1031.86
468.03,13.00,-1031.86
497.27,13.00,-1031.86
526.51,13.00,-1031.86
555.75,14.00,-1031.86
584.99,14.00,-1031.86
614.24,14.00,-1031.86
643.48,13.00,-1031.86
672.72,13.00,-1031.86
701.96,12.00,-1031.86
731.20,11.00,-1031.86
760.44,9.00,-1031.86
789.68,9.00,-1031.86
818.92,10.00,-1031.86
848.16,10.00,-1031.86
877.41,10.00,-1031.86
906.65,9.00,-1031.86
935.89,9.00,-1031.86
965.13,10.00,-1031.86
994.37,9.00,-1031.86
-1023.26,11.00,-1001.86
-994.02,10.00,-1001.86
-964.78,11.00,-1001.86
-935.54,11.00,-1001.86
-906.30,12.00,-1001.86
-877.06,13.00,-1001.86
-847.82,13.00,-1001.86
-818.58,12.00,-1001.86
-789.34,12.00,-1001.86
-760.09,13.00,-1001.86
-730.85,14.00,-1001.86
-701.61,16.00,-1001.86
-672.37,16.00,-1001.86
-643.13,14.00,-1001.86
-613.89,12.00,-1001.86
-584.65,12.00,-1001.86
-555.41,9.00,-1001.86
-526.17,7.00,-1001.86
-496.92,7.00,-1001.86
-467.68,9.00,-1001.86
-438.44,11.00,-1001.86
-409.20,13.00,-1001.86
-379.96,13.00,-1001.86
-350.72,12.00,-1001.86
-321.48,11.00,-1001.86
-292.24,10.00,-1001.86
-263.00,10.00,-1001.86
-233.76,10.00,-1001.86
-204.51,10.00,-1001.86
-175.27,11.00,-1001.86
-146.03,11.00,-1001.86
-116.79,10.00,-1001.86
-87.55,10.00,-1001.86
-58.31,10.00,-1001.86
-29.07,11.00,-1001.86
0.17,11.00,-1001.86
29.41,11.00,-1001.86
58.66,11.00,-1001.86
87.90,10.00,-1001.86
117.14,11.00,-1001.86
146.38,11.00,-1001.86
175.62,12.00,-1001.86
204.86,13.00,-1001.86
234.10,11.00,-1001.86
263.34,11.00,-1001.86
292.58,12.00,-1001.86
321.83,12.00,-1001.86
351.07,12.00,-1001.86
380.31,12.00,-1001.86
409.55,12.00,-1001.86
438.79,13.00,-1001.86
468.03,13.00,-1001.86
497.27,13.00,-1001.86
526.51,13.00,-1001.86
555.75,14.00,-1001.86
