x,y,z
-1359.83,0.00,-1456.87
-1330.58,0.00,-1456.87
-1301.34,0.00,-1456.87
-1272.10,0.00,-1456.87
-1242.86,0.00,-1456.87
-1213.62,0.00,-1456.87
-1184.38,0.00,-1456.87
-1155.14,0.00,-1456.87
-1125.90,0.00,-1456.87
-1096.66,0.00,-1456.87
-1067.42,0.00,-1456.87
-1038.18,0.00,-1456.87
-1008.94,0.00,-1456.87
-979.70,0.00,-1456.87
-950.46,0.00,-1456.87
-921.21,0.00,-1456.87
-891.97,0.00,-1456.87
-862.73,0.00,-1456.87
-833.49,0.00,-1456.87
-804.25,0.00,-1456.87
-775.01,0.00,-1456.87
-745.77,0.00,-1456.87
-716.53,0.00,-1456.87
-687.29,0.00,-1456.87
-658.05,0.00,-1456.87
-628.81,0.00,-1456.87
-599.57,0.00,-1456.87
-570.33,0.00,-1456.87
-541.08,0.00,-1456.87
-511.84,0.00,-1456.87
-482.60,0.00,-1456.87
-453.36,0.00,-1456.87
-424.12,0.00,-1456.87
-394.88,0.00,-1456.87
-365.64,0.00,-1456.87
-336.40,0.00,-1456.87
-307.16,0.00,-1456.87
-277.92,0.00,-1456.87
-248.68,0.00,-1456.87
-219.44,0.00,-1456.87
-190.20,0.00,-1456.87
-160.95,0.00,-1456.87
-131.71,0.00,-1456.87
-102.47,0.00,-1456.87
-73.23,0.00,-1456.87
-43.99,0.00,-1456.87
-14.75,0.00,-1456.87
14.49,0.00,-1456.87
43.73,0.00,-1456.87
72.97,0.00,-1456.87
102.21,0.00,-1456.87
131.45,0.00,-1456.87
160.69,0.00,-1456.87
189.93,0.00,-1456.87
219.18,0.00,-1456.87
248.42,0.00,-1456.87
277.66,0.00,-1456.87
306.90,0.00,-1456.87
336.14,0.00,-1456.87
365.38,0.00,-1456.87
394.62,0.00,-1456.87
423.86,0.00,-1456.87
453.10,0.00,-1456.87
482.34,0.00,-1456.87
511.58,0.00,-1456.87
540.82,0.00,-1456.87
570.06,0.00,-1456.87
599.31,0.00,-1456.87
628.55,0.00,-1456.87
657.79,0.00,-1456.87
687.03,0.00,-1456.87
716.27,0.00,-1456.87
745.51,0.00,-1456.87
774.75,0.00,-1456.87
803.99,0.00,-1456.87
833.23,0.00,-1456.87
862.47,0.00,-1456.87
891.71,0.00,-1456.87
920.95,0.00,-1456.87
950.19,0.00,-1456.87
979.44,0.00,-1456.87
1008.68,0.00,-1456.87
1037.92,0.00,-1456.87
1067.16,0.00,-1456.87
1096.40,0.00,-1456.87
1125.64,0.00,-1456.87
1154.88,0.00,-1456.87
1184.12,0.00,-1456.87
1213.36,0.00,-1456.87
1242.60,0.00,-1456.87
