x,y,z
-924.34,41.00,-847.52
-895.10,44.00,-847.52
-865.86,44.00,-847.52
-836.62,45.00,-847.52
-807.38,48.00,-847.52
-778.13,52.00,-847.52
-748.89,56.00,-847.52
-719.65,58.00,-847.52
-690.41,61.00,-847.52
-661.17,65.00,-847.52
-631.93,70.00,-847.52
-602.69,68.00,-847.52
-573.45,61.00,-847.52
-544.21,55.00,-847.52
-514.96,46.00,-847.52
-485.72,36.00,-847.52
-456.48,28.00,-847.52
-427.24,20.00,-847.52
-398.00,12.00,-847.52
-368.76,10.00,-847.52
-339.52,11.00,-847.52
-310.28,12.00,-847.52
-281.04,14.00,-847.52
-251.79,14.00,-847.52
-222.55,13.00,-847.52
-193.31,13.00,-847.52
-164.07,13.00,-847.52
-134.83,13.00,-847.52
-105.59,13.00,-847.52
-76.35,12.00,-847.52
-47.11,13.00,-847.52
-17.86,15.00,-847.52
11.38,15.00,-847.52
40.62,14.00,-847.52
69.86,13.00,-847.52
99.10,12.00,-847.52
128.34,10.00,-847.52
157.58,10.00,-847.52
186.82,13.00,-847.52
216.06,13.00,-847.52
245.31,12.00,-847.52
274.55,11.00,-847.52
303.79,10.00,-847.52
333.03,11.00,-847.52
362.27,14.00,-847.52
391.51,20.00,-847.52
420.75,21.00,-847.52
449.99,14.00,-847.52
479.23,13.00,-847.52
508.48,14.00,-847.52
537.72,14.00,-847.52
566.96,13.00,-847.52
596.20,15.00,-847.52
625.44,18.00,-847.52
654.68,19.00,-847.52
683.92,18.00,-847.52
713.16,18.00,-847.52
742.40,19.00,-847.52
771.65,19.00,-847.52
800.89,16.00,-847.52
830.13,13.00,-847.52
859.37,11.00,-847.52
888.61,10.00,-847.52
917.85,10.00,-847.52
-924.34,42.00,-817.52
-895.10,42.00,-817.52
-865.86,42.00,-817.52
-836.62,44.00,-817.52
-807.38,49.00,-817.52
-778.13,52.00,-817.52
-748.89,55.00,-817.52
-719.65,58.00,-817.52
-690.41,61.00,-817.52
-661.17,69.00,-817.52
-631.93,78.00,-817.52
-602.69,77.00,-817.52
-573.45,71.00,-817.52
-544.21,63.00,-817.52
-514.96,54.00,-817.52
-485.72,42.00,-817.52
-456.48,32.00,-817.52
-427.24,24.00,-817.52
-398.00,15.00,-817.52
-368.76,11.00,-817.52
-339.52,10.00,-817.52
-310.28,12.00,-817.52
-281.04,12.00,-817.52
-251.79,13.00,-817.52
-222.55,11.00,-817.52
-193.31,11.00,-817.52
-164.07,12.00,-817.52
-134.83,12.00,-817.52
-105.59,13.00,-817.52
-76.35,12.00,-817.52
-47.11,12.00,-817.52
-17.86,14.00,-817.52
11.38,14.00,-817.52
40.62,14.00,-817.52
69.86,14.00,-817.52
99.10,12.00,-817.52
128.34,10.00,-817.52
157.58,11.00,-817.52
186.82,13.00,-817.52
216.06,14.00,-817.52
245.31,12.00,-817.52
274.55,11.00,-817.52
303.79,11.00,-817.52
333.03,12.00,-817.52
362.27,19.00,-817.52
391.51,32.00,-817.52
420.75,34.00,-817.52
449.99,26.00,-817.52
479.23,19.00,-817.52
508.48,15.00,-817.52
537.72,14.00,-817.52
566.96,12.00,-817.52
596.20,12.00,-817.52
625.44,14.00,-817.52
654.68,14.00,-817.52
683.92,14.00,-817.52
713.16,16.00,-817.52
742.40,19.00,-817.52
771.65,19.00,-817.52
800.89,19.00,-817.52
830.13,15.00,-817.52
859.37,12.00,-817.52
888.61,10.00,-817.52
917.85,11.00,-817.52
-924.34,40.00,-787.52
-895.10,41.00,-787.52
-865.86,42.00,-787.52
-836.62,45.00,-787.52
-807.38,49.00,-787.52
-778.13,51.00,-787.52
-748.89,54.00,-787.52
-719.65,58.00,-787.52
-690.41,64.00,-787.52
-661.17,74.00,-787.52
-631.93,83.00,-787.52
-602.69,83.00,-787.52
-573.45,77.00,-787.52
-544.21,66.00,-787.52
-514.96,58.00,-787.52
-485.72,48.00,-787.52
-456.48,38.00,-787.52
-427.24,28.00,-787.52
-398.00,21.00,-787.52
-368.76,13.00,-787.52
-339.52,12.00,-787.52
-310.28,12.00,-787.52
-281.04,12.00,-787.52
