x,y,z
-343.87,0.00,-342.72
-314.63,0.00,-342.72
-285.40,0.00,-342.72
-256.16,0.00,-342.72
-226.92,0.00,-342.72
-197.68,0.00,-342.72
-168.44,0.00,-342.72
-139.20,0.00,-342.72
-109.96,0.00,-342.72
-80.72,0.00,-342.72
-51.48,0.00,-342.72
-22.24,0.00,-342.72
7.00,0.00,-342.72
36.24,0.00,-342.72
65.48,0.00,-342.72
94.72,0.00,-342.72
123.96,0.00,-342.72
153.20,0.00,-342.72
182.44,0.00,-342.72
211.68,0.00,-342.72
240.92,0.00,-342.72
270.16,0.00,-342.72
299.40,0.00,-342.72
-343.87,0.00,-312.72
-314.63,0.00,-312.72
-285.40,0.00,-312.72
-256.16,0.00,-312.72
-226.92,0.00,-312.72
-197.68,0.00,-312.72
-168.44,0.00,-312.72
-139.20,0.00,-312.72
-109.96,0.00,-312.72
-80.72,0.00,-312.72
-51.48,0.00,-312.72
-22.24,0.00,-312.72
7.00,0.00,-312.72
36.24,0.00,-312.72
65.48,0.00,-312.72
94.72,0.00,-312.72
123.96,0.00,-312.72
153.20,0.00,-312.72
182.44,0.00,-312.72
211.68,0.00,-312.72
240.92,0.00,-312.72
270.16,0.00,-312.72
299.40,0.00,-312.72
-343.87,0.00,-282.72
-314.63,0.00,-282.72
-285.40,0.00,-282.72
-256.16,0.00,-282.72
-226.92,0.00,-282.72
-197.68,0.00,-282.72
-168.44,0.00,-282.72
-139.20,0.00,-282.72
-109.96,0.00,-282.72
-80.72,0.00,-282.72
-51.48,0.00,-282.72
-22.24,0.00,-282.72
7.00,0.00,-282.72
36.24,0.00,-282.72
65.48,0.00,-282.72
94.72,0.00,-282.72
123.96,0.00,-282.72
153.20,0.00,-282.72
182.44,0.00,-282.72
211.68,0.00,-282.72
240.92,0.00,-282.72
270.16,0.00,-282.72
299.40,0.00,-282.72
-343.87,0.00,-252.72
-314.63,0.00,-252.72
-285.40,0.00,-252.72
-256.16,0.00,-252.72
-226.92,0.00,-252.72
-197.68,0.00,-252.72
-168.44,0.00,-252.72
-139.20,0.00,-252.72
-109.96,0.00,-252.72
-80.72,0.00,-252.72
-51.48,0.00,-252.72
-22.24,0.00,-252.72
7.00,0.00,-252.72
36.24,0.00,-252.72
65.48,0.00,-252.72
94.72,0.00,-252.72
123.96,0.00,-252.72
153.20,0.00,-252.72
182.44,0.00,-252.72
211.68,0.00,-252.72
240.92,0.00,-252.72
270.16,0.00,-252.72
299.40,0.00,-252.72
-343.87,0.00,-222.72
-314.63,0.00,-222.72
-285.40,0.00,-222.72
-256.16,0.00,-222.72
-226.92,0.00,-222.72
-197.68,0.00,-222.72
-168.44,0.00,-222.72
-139.20,0.00,-222.72
-109.96,0.00,-222.72
-80.72,0.00,-222.72
-51.48,0.00,-222.72
-22.24,9.00,-222.72
7.00,12.00,-222.72
36.24,0.00,-222.72
65.48,0.00,-222.72
94.72,0.00,-222.72
123.96,0.00,-222.72
153.20,0.00,-222.72
182.44,0.00,-222.72
211.68,0.00,-222.72
240.92,0.00,-222.72
270.16,0.00,-222.72
299.40,0.00,-222.72
-343.87,0.00,-192.72
-314.63,0.00,-192.72
-285.40,0.00,-192.72
-256.16,0.00,-192.72
-226.92,0.00,-192.72
-197.68,0.00,-192.72
-168.44,0.00,-192.72
-139.20,0.00,-192.72
-109.96,0.00,-192.72
-80.72,0.00,-192.72
-51.48,5.00,-192.72
-22.24,11.00,-192.72
7.00,16.00,-192.72
36.24,20.00,-192.72
65.48,20.00,-192.72
94.72,0.00,-192.72
123.96,0.00,-192.72
153.20,0.00,-192.72
182.44,0.00,-192.72
211.68,0.00,-192.72
240.92,0.00,-192.72
270.16,0.00,-192.72
299.40,0.00,-192.72
-343.87,0.00,-162.72
-314.63,0.00,-162.72
-285.40,0.00,-162.72
-256.16,0.00,-162.72
-226.92,0.00,-162.72
