x,y,z,row,col
-505.24,0.00,-501.58,0,0
-475.99,0.00,-501.80,0,1
-446.75,0.00,-502.01,0,2
-417.50,0.00,-502.23,0,3
-388.26,0.00,-502.44,0,4
-359.01,0.00,-502.66,0,5
-329.77,0.00,-502.87,0,6
-300.52,0.00,-503.09,0,7
-271.28,0.00,-503.30,0,8
-242.03,0.00,-503.52,0,9
-212.79,0.00,-503.73,0,10
-183.54,0.00,-503.95,0,11
-154.30,0.00,-504.16,0,12
-125.05,0.00,-504.38,0,13
-95.81,0.00,-504.60,0,14
-66.57,6.06,-504.81,0,15
-37.32,6.00,-505.03,0,16
-8.08,6.17,-505.24,0,17
21.17,6.36,-505.46,0,18
50.41,7.48,-505.67,0,19
79.66,7.48,-505.89,0,20
108.90,8.25,-506.11,0,21
138.15,8.99,-506.32,0,22
167.39,9.60,-506.54,0,23
196.64,9.71,-506.75,0,24
225.88,9.85,-506.97,0,25
255.13,10.49,-507.18,0,26
-505.02,0.00,-471.76,1,0
-475.77,0.00,-471.98,1,1
-446.53,0.00,-472.19,1,2
-417.28,0.00,-472.41,1,3
-388.04,0.00,-472.63,1,4
-358.79,0.00,-472.84,1,5
-329.55,0.00,-473.06,1,6
-300.30,0.00,-473.27,1,7
-271.06,0.00,-473.49,1,8
-241.81,0.00,-473.70,1,9
-212.57,0.00,-473.92,1,10
-183.33,0.00,-474.13,1,11
-154.08,0.00,-474.35,1,12
-124.84,0.00,-474.56,1,13
-95.59,0.00,-474.78,1,14
-66.35,6.03,-474.99,1,15
-37.10,6.03,-475.21,1,16
-7.86,6.76,-475.43,1,17
21.39,7.22,-475.64,1,18
50.63,8.11,-475.86,1,19
79.88,8.11,-476.07,1,20
109.12,8.15,-476.29,1,21
138.37,8.88,-476.50,1,22
167.61,8.88,-476.72,1,23
196.86,9.78,-476.94,1,24
226.10,9.88,-477.15,1,25
255.35,10.05,-477.37,1,26
284.59,10.17,-477.58,1,27
313.84,11.35,-477.80,1,28
343.08,11.74,-478.02,1,29
372.33,12.12,-478.23,1,30
401.57,14.17,-478.45,1,31
430.82,14.16,-478.66,1,32
460.06,15.57,-478.88,1,33
489.31,16.38,-479.10,1,34
-504.80,0.00,-441.95,2,0
-475.55,0.00,-442.16,2,1
-446.31,0.00,-442.38,2,2
-417.06,0.00,-442.59,2,3
-387.82,0.00,-442.81,2,4
-358.57,0.00,-443.02,2,5
-329.33,0.00,-443.24,2,6
-300.09,0.00,-443.45,2,7
-270.84,0.00,-443.67,2,8
-241.60,0.00,-443.88,2,9
-212.35,0.00,-444.10,2,10
-183.11,0.00,-444.32,2,11
-153.86,0.00,-444.53,2,12
-124.62,0.00,-444.75,2,13
-95.37,0.00,-444.96,2,14
-66.13,6.17,-445.18,2,15
-36.88,6.39,-445.39,2,16
-7.64,7.09,-445.61,2,17
21.61,7.06,-445.82,2,18
50.85,9.12,-446.04,2,19
80.10,9.12,-446.26,2,20
109.34,10.04,-446.47,2,21
138.59,8.74,-446.69,2,22
167.83,9.84,-446.90,2,23
197.08,9.82,-447.12,2,24
226.32,9.77,-447.34,2,25
255.57,9.86,-447.55,2,26
284.81,10.01,-447.77,2,27
314.06,10.36,-447.98,2,28
343.30,11.11,-448.20,2,29
372.55,11.59,-448.41,2,30
401.79,12.05,-448.63,2,31
431.04,13.89,-448.85,2,32
460.28,14.92,-449.06,2,33
489.53,15.78,-449.28,2,34
-504.58,0.00,-412.13,3,0
-475.34,0.00,-412.35,3,1
-446.09,0.00,-412.56,3,2
-416.85,0.00,-412.78,3,3
-387.60,0.00,-412.99,3,4
-358.36,0.00,-413.21,3,5
-329.11,0.00,-413.42,3,6
-299.87,0.00,-413.64,3,7
-270.62,0.00,-413.85,3,8
-241.38,0.00,-414.07,3,9
-212.13,0.00,-414.28,3,10
-182.89,0.00,-414.50,3,11
-153.64,0.00,-414.71,3,12
-124.40,0.00,-414.93,3,13
-95.15,0.00,-415.15,3,14
-65.91,6.49,-415.36,3,15
-36.66,5.92,-415.58,3,16
-7.42,8.07,-415.79,3,17
21.83,9.45,-416.01,3,18
51.07,10.92,-416.22,3,19
80.32,10.92,-416.44,3,20
109.56,10.67,-416.65,3,21
138.81,10.47,-416.87,3,22
168.05,9.79,-417.09,3,23
197.30,10.16,-417.30,3,24
226.54,9.75,-417.52,3,25
255.79,9.89,-417.73,3,26
285.03,10.03,-417.95,3,27
314.28,10.68,-418.17,3,28
343.52,10.50,-418.38,3,29
372.77,10.62,-418.60,3,30
402.01,12.04,-418.81,3,31
431.26,11.86,-419.03,3,32
460.50,13.30,-419.25,3,33
489.75,15.04,-419.46,3,34
-504.36,0.00,-382.31,4,0
-475.12,0.00,-382.53,4,1
-445.87,0.00,-382.74,4,2
-416.63,0.00,-382.96,4,3
-387.38,0.00,-383.17,4,4
-358.14,0.00,-383.39,4,5
-328.89,0.00,-383.61,4,6
-299.65,0.00,-383.82,4,7
-270.40,0.00,-384.04,4,8
-241.16,0.00,-384.25,4,9
-211.91,0.00,-384.47,4,10
-182.67,0.00,-384.68,4,11
-153.42,0.00,-384.90,4,12
-124.18,0.00,-385.11,4,13
-94.93,0.00,-385.33,4,14
-65.69,7.02,-385.54,4,15
-36.44,6.74,-385.76,4,16
-7.20,8.19,-385.98,4,17
22.05,10.85,-386.19,4,18
51.29,10.28,-386.41,4,19
80.54,10.28,-386.62,4,20
109.78,9.30,-386.84,4,21
139.03,9.46,-387.05,4,22
168.27,9.25,-387.27,4,23
197.52,9.44,-387.49,4,24
226.76,9.97,-387.70,4,25
256.01,10.61,-387.92,4,26
285.25,10.56,-388.13,4,27
314.50,10.94,-388.35,4,28
343.74,10.47,-388.57,4,29
372.99,10.83,-388.78,4,30
402.23,11.53,-389.00,4,31
431.48,11.75,-389.21,4,32
460.73,12.75,-389.43,4,33
489.97,13.97,-389.65,4,34
-504.14,0.00,-352.50,5,0
-474.90,0.00,-352.71,5,1
-445.65,0.00,-352.93,5,2
-416.41,0.00,-353.14,5,3
-387.16,0.00,-353.36,5,4
-357.92,0.00,-353.57,5,5
-328.67,0.00,-353.79,5,6
-299.43,0.00,-354.00,5,7
-270.18,0.00,-354.22,5,8
-240.94,0.00,-354.43,5,9
-211.69,0.00,-354.65,5,10
-182.45,0.00,-354.87,5,11
-153.20,0.00,-355.08,5,12
-123.96,0.00,-355.30,5,13
-94.71,0.00,-355.51,5,14
-65.47,6.73,-355.73,5,15
-36.22,8.54,-355.94,5,16
-6.98,7.02,-356.16,5,17
22.27,10.21,-356.37,5,18
51.51,9.99,-356.59,5,19
80.76,9.99,-356.81,5,20
110.00,9.69,-357.02,5,21
139.25,9.65,-357.24,5,22
168.49,9.24,-357.45,5,23
197.74,9.44,-357.67,5,24
226.98,10.32,-357.88,5,25
256.23,10.14,-358.10,5,26
285.47,10.25,-358.32,5,27
314.72,11.19,-358.53,5,28
343.96,10.84,-358.75,5,29
373.21,10.75,-358.96,5,30
402.46,10.95,-359.18,5,31
431.70,11.73,-359.40,5,32
460.95,11.57,-359.61,5,33
490.19,13.44,-359.83,5,34
-503.92,0.00,-322.68,6,0
-474.68,0.00,-322.90,6,1
-445.43,0.00,-323.11,6,2
-416.19,0.00,-323.33,6,3
-386.94,0.00,-323.54,6,4
-357.70,0.00,-323.76,6,5
-328.45,0.00,-323.97,6,6
-299.21,0.00,-324.19,6,7
-269.96,0.00,-324.40,6,8
-240.72,0.00,-324.62,6,9
-211.47,0.00,-324.83,6,10
-182.23,0.00,-325.05,6,11
-152.98,0.00,-325.26,6,12
-123.74,0.00,-325.48,6,13
-94.49,0.00,-325.69,6,14
-65.25,6.58,-325.91,6,15
-36.00,7.53,-326.13,6,16
-6.76,7.35,-326.34,6,17
22.49,8.64,-326.56,6,18
51.73,7.72,-326.77,6,19
80.98,7.72,-326.99,6,20
110.22,8.23,-327.20,6,21
139.47,8.95,-327.42,6,22
168.71,9.94,-327.64,6,23
197.96,10.32,-327.85,6,24
227.20,10.35,-328.07,6,25
256.45,11.52,-328.28,6,26
285.69,11.62,-328.50,6,27
314.94,11.12,-328.72,6,28
344.19,10.99,-328.93,6,29
373.43,10.81,-329.15,6,30
402.68,10.91,-329.36,6,31
431.92,10.61,-329.58,6,32
461.17,11.34,-329.80,6,33
490.41,12.28,-330.01,6,34
-503.70,0.00,-292.86,7,0
-474.46,0.00,-293.08,7,1
-445.21,0.00,-293.29,7,2
-415.97,0.00,-293.51,7,3
-386.72,0.00,-293.72,7,4
-357.48,0.00,-293.94,7,5
-328.23,0.00,-294.15,7,6
-298.99,0.00,-294.37,7,7
-269.74,0.00,-294.59,7,8
-240.50,0.00,-294.80,7,9
-211.25,0.00,-295.02,7,10
-182.01,0.00,-295.23,7,11
-152.76,0.00,-295.45,7,12
-123.52,0.00,-295.66,7,13
-94.27,0.00,-295.88,7,14
-65.03,6.54,-296.09,7,15
-35.78,6.42,-296.31,7,16
-6.54,6.54,-296.52,7,17
22.71,7.36,-296.74,7,18
51.95,7.92,-296.96,7,19
81.20,7.92,-297.17,7,20
110.44,8.33,-297.39,7,21
139.69,9.60,-297.60,7,22
168.93,10.44,-297.82,7,23
198.18,12.98,-298.03,7,24
227.42,12.42,-298.25,7,25
256.67,12.67,-298.47,7,26
285.92,11.25,-298.68,7,27
315.16,11.05,-298.90,7,28
344.41,11.10,-299.11,7,29
373.65,9.62,-299.33,7,30
402.90,10.28,-299.55,7,31
432.14,10.21,-299.76,7,32
461.39,10.42,-299.98,7,33
490.63,11.00,-300.19,7,34
-503.48,0.00,-263.05,8,0
-474.24,0.00,-263.26,8,1
-444.99,0.00,-263.48,8,2
-415.75,0.00,-263.69,8,3
-386.50,0.00,-263.91,8,4
-357.26,0.00,-264.12,8,5
-328.01,0.00,-264.34,8,6
-298.77,0.00,-264.55,8,7
-269.52,0.00,-264.77,8,8
-240.28,0.00,-264.98,8,9
-211.03,0.00,-265.20,8,10
-181.79,0.00,-265.41,8,11
-152.54,0.00,-265.63,8,12
-123.30,0.00,-265.85,8,13
-94.05,0.00,-266.06,8,14
-64.81,6.38,-266.28,8,15
-35.56,6.37,-266.49,8,16
-6.32,6.59,-266.71,8,17
22.93,6.49,-266.92,8,18
52.17,6.61,-267.14,8,19
81.42,6.61,-267.35,8,20
110.66,6.76,-267.57,8,21
139.91,8.76,-267.79,8,22
169.15,10.99,-268.00,8,23
198.40,12.90,-268.22,8,24
227.64,13.28,-268.43,8,25
256.89,12.67,-268.65,8,26
286.14,12.51,-268.87,8,27
315.38,11.44,-269.08,8,28
344.63,10.29,-269.30,8,29
373.87,9.54,-269.51,8,30
403.12,9.28,-269.73,8,31
432.36,9.38,-269.95,8,32
461.61,9.75,-270.16,8,33
490.85,10.26,-270.38,8,34
-503.26,0.00,-233.23,9,0
-474.02,0.00,-233.45,9,1
-444.77,0.00,-233.66,9,2
-415.53,0.00,-233.88,9,3
-386.28,0.00,-234.09,9,4
-357.04,0.00,-234.31,9,5
-327.79,0.00,-234.52,9,6
-298.55,0.00,-234.74,9,7
-269.30,0.00,-234.95,9,8
-240.06,0.00,-235.17,9,9
-210.81,0.00,-235.38,9,10
-181.57,0.00,-235.60,9,11
-152.32,0.00,-235.81,9,12
-123.08,0.00,-236.03,9,13
-93.83,0.00,-236.24,9,14
-64.59,6.37,-236.46,9,15
-35.34,6.34,-236.68,9,16
-6.10,6.39,-236.89,9,17
23.15,6.45,-237.11,9,18
52.39,6.47,-237.32,9,19
81.64,6.47,-237.54,9,20
110.88,6.71,-237.75,9,21
140.13,9.67,-237.97,9,22
169.37,12.37,-238.19,9,23
198.62,10.29,-238.40,9,24
227.86,12.22,-238.62,9,25
257.11,12.53,-238.83,9,26
286.36,11.43,-239.05,9,27
315.60,11.34,-239.26,9,28
344.85,9.68,-239.48,9,29
374.09,9.14,-239.70,9,30
403.34,9.12,-239.91,9,31
432.58,9.14,-240.13,9,32
461.83,9.31,-240.34,9,33
491.07,9.88,-240.56,9,34
-503.05,0.00,-203.41,10,0
-473.80,0.00,-203.63,10,1
-444.55,0.00,-203.84,10,2
-415.31,0.00,-204.06,10,3
-386.06,0.00,-204.27,10,4
-356.82,0.00,-204.49,10,5
-327.57,0.00,-204.70,10,6
-298.33,0.00,-204.92,10,7
-269.08,0.00,-205.13,10,8
-239.84,0.00,-205.35,10,9
-210.59,0.00,-205.57,10,10
-181.35,0.00,-205.78,10,11
-152.10,0.00,-206.00,10,12
-122.86,0.00,-206.21,10,13
-93.61,0.00,-206.43,10,14
-64.37,6.35,-206.64,10,15
-35.12,6.27,-206.86,10,16
-5.88,6.34,-207.07,10,17
23.37,6.44,-207.29,10,18
52.61,6.57,-207.51,10,19
81.86,6.57,-207.72,10,20
111.10,6.71,-207.94,10,21
140.35,7.45,-208.15,10,22
169.59,9.73,-208.37,10,23
198.84,9.31,-208.58,10,24
228.08,9.45,-208.80,10,25
257.33,11.05,-209.02,10,26
286.58,11.05,-209.23,10,27
315.82,10.10,-209.45,10,28
345.07,9.48,-209.66,10,29
374.31,9.00,-209.88,10,30
403.56,8.99,-210.10,10,31
432.80,9.01,-210.31,10,32
462.05,9.29,-210.53,10,33
491.29,9.31,-210.74,10,34
-502.83,0.00,-173.60,11,0
-473.58,0.00,-173.81,11,1
-444.34,0.00,-174.03,11,2
-415.09,0.00,-174.24,11,3
-385.85,0.00,-174.46,11,4
-356.60,0.00,-174.67,11,5
-327.35,0.00,-174.89,11,6
-298.11,0.00,-175.10,11,7
-268.86,0.00,-175.32,11,8
-239.62,0.00,-175.53,11,9
-210.37,0.00,-175.75,11,10
-181.13,0.00,-175.96,11,11
-151.88,0.00,-176.18,11,12
-122.64,0.00,-176.40,11,13
-93.39,0.00,-176.61,11,14
-64.15,6.35,-176.83,11,15
-34.90,6.32,-177.04,11,16
-5.66,6.39,-177.26,11,17
23.59,6.46,-177.47,11,18
52.83,7.00,-177.69,11,19
82.08,7.00,-177.90,11,20
111.32,8.21,-178.12,11,21
140.57,8.36,-178.34,11,22
169.81,8.93,-178.55,11,23
199.06,9.30,-178.77,11,24
228.31,9.67,-178.98,11,25
257.55,9.55,-179.20,11,26
286.80,10.02,-179.41,11,27
316.04,9.59,-179.63,11,28
345.29,9.11,-179.85,11,29
374.53,8.89,-180.06,11,30
403.78,8.89,-180.28,11,31
433.02,8.97,-180.49,11,32
462.27,9.23,-180.71,11,33
491.51,9.26,-180.93,11,34
-502.61,0.00,-143.78,12,0
-473.36,0.00,-143.99,12,1
-444.12,0.00,-144.21,12,2
-414.87,0.00,-144.42,12,3
-385.63,0.00,-144.64,12,4
-356.38,0.00,-144.86,12,5
-327.14,0.00,-145.07,12,6
-297.89,0.00,-145.29,12,7
-268.64,0.00,-145.50,12,8
-239.40,0.00,-145.72,12,9
-210.15,0.00,-145.93,12,10
-180.91,0.00,-146.15,12,11
-151.66,0.00,-146.36,12,12
-122.42,0.00,-146.58,12,13
-93.17,0.00,-146.79,12,14
-63.93,6.34,-147.01,12,15
-34.68,6.25,-147.22,12,16
-5.44,6.35,-147.44,12,17
23.81,6.47,-147.66,12,18
53.05,7.35,-147.87,12,19
82.30,7.35,-148.09,12,20
111.54,7.56,-148.30,12,21
140.79,7.60,-148.52,12,22
170.03,8.21,-148.73,12,23
199.28,9.18,-148.95,12,24
228.53,9.42,-149.17,12,25
257.77,9.06,-149.38,12,26
287.02,8.97,-149.60,12,27
316.26,9.19,-149.81,12,28
345.51,8.98,-150.03,12,29
374.75,8.80,-150.25,12,30
404.00,8.82,-150.46,12,31
433.24,8.86,-150.68,12,32
462.49,8.88,-150.89,12,33
491.73,9.19,-151.11,12,34
-502.39,0.00,-113.96,13,0
-473.14,0.00,-114.18,13,1
-443.90,0.00,-114.39,13,2
-414.65,0.00,-114.61,13,3
-385.41,0.00,-114.82,13,4
-356.16,0.00,-115.04,13,5
-326.92,0.00,-115.25,13,6
-297.67,0.00,-115.47,13,7
-268.43,0.00,-115.68,13,8
-239.18,0.00,-115.90,13,9
-209.93,0.00,-116.12,13,10
-180.69,0.00,-116.33,13,11
-151.44,0.00,-116.55,13,12
-122.20,0.00,-116.76,13,13
-92.95,6.26,-116.98,13,14
-63.71,6.38,-117.19,13,15
