x,y,z,row,col
-419.45,37.99,-426.67,0,0
-390.20,39.95,-426.88,0,1
-360.95,41.33,-427.09,0,2
-331.70,42.41,-427.31,0,3
-302.46,42.44,-427.52,0,4
-273.21,43.71,-427.73,0,5
-243.96,47.83,-427.95,0,6
-214.72,48.32,-428.16,0,7
-185.47,48.86,-428.37,0,8
-156.22,44.62,-428.59,0,9
-126.97,40.37,-428.80,0,10
-97.73,35.08,-429.01,0,11
-68.48,22.27,-429.22,0,12
-39.23,13.65,-429.44,0,13
-9.98,5.40,-429.65,0,14
19.26,5.43,-429.86,0,15
48.51,4.95,-430.08,0,16
77.76,4.80,-430.29,0,17
107.00,4.80,-430.50,0,18
136.25,4.29,-430.72,0,19
165.50,5.14,-430.93,0,20
194.75,5.35,-431.14,0,21
223.99,5.82,-431.36,0,22
253.24,6.88,-431.57,0,23
282.49,7.26,-431.78,0,24
311.74,7.94,-432.00,0,25
340.98,7.58,-432.21,0,26
370.23,7.62,-432.43,0,27
399.48,7.04,-432.64,0,28
-419.23,39.43,-396.85,1,0
-389.98,41.03,-397.07,1,1
-360.73,41.81,-397.28,1,2
-331.49,42.74,-397.49,1,3
-302.24,42.57,-397.70,1,4
-272.99,44.31,-397.92,1,5
-243.75,47.73,-398.13,1,6
-214.50,48.46,-398.34,1,7
-185.25,53.53,-398.56,1,8
-156.00,51.31,-398.77,1,9
-126.76,45.05,-398.98,1,10
-97.51,40.26,-399.19,1,11
-68.26,29.58,-399.41,1,12
-39.01,22.12,-399.62,1,13
-9.77,11.89,-399.83,1,14
19.48,10.65,-400.05,1,15
48.73,5.64,-400.26,1,16
77.97,5.10,-400.47,1,17
107.22,5.10,-400.69,1,18
136.47,4.86,-400.90,1,19
165.72,4.72,-401.11,1,20
194.96,5.31,-401.33,1,21
224.21,5.17,-401.54,1,22
253.46,7.04,-401.75,1,23
282.71,7.31,-401.97,1,24
311.95,8.69,-402.18,1,25
341.20,8.22,-402.40,1,26
370.45,7.56,-402.61,1,27
399.69,7.68,-402.82,1,28
-419.01,37.95,-367.04,2,0
-389.76,40.30,-367.25,2,1
-360.52,41.75,-367.46,2,2
-331.27,42.02,-367.67,2,3
-302.02,43.56,-367.89,2,4
-272.78,48.30,-368.10,2,5
-243.53,49.29,-368.31,2,6
-214.28,54.72,-368.53,2,7
-185.03,52.56,-368.74,2,8
-155.79,54.51,-368.95,2,9
-126.54,49.62,-369.17,2,10
-97.29,45.89,-369.38,2,11
-68.04,37.48,-369.59,2,12
-38.80,30.66,-369.80,2,13
-9.55,22.67,-370.02,2,14
19.70,13.25,-370.23,2,15
48.94,7.06,-370.44,2,16
78.19,4.65,-370.66,2,17
107.44,4.65,-370.87,2,18
136.69,4.71,-371.08,2,19
165.93,5.04,-371.30,2,20
195.18,5.00,-371.51,2,21
224.43,5.38,-371.72,2,22
253.68,6.67,-371.94,2,23
282.92,7.63,-372.15,2,24
312.17,6.88,-372.36,2,25
341.42,7.84,-372.58,2,26
370.67,8.10,-372.79,2,27
399.91,7.51,-373.01,2,28
-418.79,37.95,-337.22,3,0
-389.55,40.30,-337.43,3,1
-360.30,41.75,-337.65,3,2
-331.05,42.02,-337.86,3,3
-301.81,43.56,-338.07,3,4
-272.56,48.30,-338.28,3,5
-243.31,49.29,-338.50,3,6
-214.06,54.72,-338.71,3,7
-184.82,52.56,-338.92,3,8
-155.57,54.51,-339.14,3,9
-126.32,49.62,-339.35,3,10
-97.07,45.89,-339.56,3,11
-67.83,37.48,-339.78,3,12
-38.58,30.66,-339.99,3,13
-9.33,22.67,-340.20,3,14
19.91,13.25,-340.41,3,15
49.16,7.06,-340.63,3,16
78.41,4.65,-340.84,3,17
107.66,4.65,-341.05,3,18
136.90,4.71,-341.27,3,19
166.15,5.04,-341.48,3,20
195.40,5.00,-341.69,3,21
224.65,5.38,-341.91,3,22
253.89,6.67,-342.12,3,23
283.14,7.63,-342.33,3,24
312.39,6.88,-342.55,3,25
341.64,7.84,-342.76,3,26
370.88,8.10,-342.98,3,27
400.13,7.51,-343.19,3,28
-418.58,36.03,-307.40,4,0
-389.33,38.09,-307.62,4,1
-360.08,39.79,-307.83,4,2
-330.84,42.42,-308.04,4,3
-301.59,46.13,-308.25,4,4
-272.34,54.03,-308.47,4,5
-243.09,49.93,-308.68,4,6
-213.85,54.70,-308.89,4,7
-184.60,54.73,-309.11,4,8
-155.35,55.46,-309.32,4,9
-126.10,56.63,-309.53,4,10
-96.86,53.96,-309.75,4,11
-67.61,46.66,-309.96,4,12
-38.36,39.62,-310.17,4,13
-9.12,30.31,-310.38,4,14
20.13,23.50,-310.60,4,15
49.38,9.33,-310.81,4,16
78.63,4.86,-311.02,4,17
107.87,4.86,-311.24,4,18
137.12,5.05,-311.45,4,19
166.37,4.86,-311.66,4,20
195.62,4.97,-311.88,4,21
224.86,5.42,-312.09,4,22
254.11,6.84,-312.30,4,23
283.36,7.34,-312.52,4,24
312.61,6.88,-312.73,4,25
