x,y,z,row,col
-976.63,0.00,-939.68,0,0
-947.39,0.00,-939.90,0,1
-918.14,0.00,-940.11,0,2
-888.90,0.00,-940.33,0,3
-859.65,0.00,-940.54,0,4
-830.41,0.00,-940.76,0,5
-801.16,0.00,-940.97,0,6
-771.92,0.00,-941.19,0,7
-742.68,0.00,-941.40,0,8
-713.43,12.19,-941.62,0,9
-684.19,12.25,-941.84,0,10
-654.94,13.31,-942.05,0,11
-625.70,16.74,-942.27,0,12
-596.45,17.09,-942.48,0,13
-567.21,18.64,-942.70,0,14
-537.97,18.35,-942.91,0,15
-508.72,17.44,-943.13,0,16
-479.48,17.43,-943.34,0,17
-450.23,17.36,-943.56,0,18
-420.99,17.18,-943.78,0,19
-391.74,17.18,-943.99,0,20
-362.50,17.49,-944.21,0,21
-333.25,18.63,-944.42,0,22
-304.01,19.58,-944.64,0,23
-274.77,19.14,-944.86,0,24
-245.52,19.75,-945.07,0,25
-216.28,20.31,-945.29,0,26
-187.03,20.71,-945.50,0,27
-157.79,21.03,-945.72,0,28
-128.54,22.04,-945.94,0,29
-99.30,23.02,-946.15,0,30
-70.06,23.21,-946.37,0,31
-40.81,24.06,-946.58,0,32
-11.57,24.78,-946.80,0,33
17.68,24.86,-947.02,0,34
46.92,27.31,-947.23,0,35
76.17,25.25,-947.45,0,36
105.41,26.61,-947.67,0,37
134.66,27.79,-947.88,0,38
163.90,28.29,-948.10,0,39
193.14,28.98,-948.31,0,40
222.39,29.66,-948.53,0,41
251.63,29.95,-948.75,0,42
280.88,30.78,-948.96,0,43
310.12,31.09,-949.18,0,44
339.37,31.65,-949.40,0,45
368.61,31.66,-949.61,0,46
397.86,32.37,-949.83,0,47
427.10,33.39,-950.05,0,48
456.34,32.43,-950.26,0,49
485.59,33.31,-950.48,0,50
514.83,32.59,-950.70,0,51
544.08,33.11,-950.91,0,52
573.32,33.14,-951.13,0,53
602.57,33.14,-951.35,0,54
631.81,33.92,-951.56,0,55
661.06,34.27,-951.78,0,56
690.30,33.87,-952.00,0,57
719.54,34.28,-952.22,0,58
748.79,33.72,-952.43,0,59
778.03,33.62,-952.65,0,60
807.28,33.54,-952.87,0,61
836.52,33.43,-953.08,0,62
865.77,32.98,-953.30,0,63
895.01,32.64,-953.52,0,64
924.26,32.36,-953.74,0,65
-976.41,0.00,-909.87,1,0
-947.17,0.00,-910.08,1,1
-917.92,0.00,-910.30,1,2
-888.68,0.00,-910.51,1,3
-859.43,0.00,-910.73,1,4
-830.19,0.00,-910.94,1,5
-800.94,0.00,-911.16,1,6
-771.70,0.00,-911.37,1,7
-742.46,0.00,-911.59,1,8
-713.21,11.53,-911.80,1,9
-683.97,12.24,-912.02,1,10
-654.72,12.81,-912.23,1,11
-625.48,15.69,-912.45,1,12
-596.23,16.18,-912.67,1,13
-566.99,17.29,-912.88,1,14
-537.75,16.42,-913.10,1,15
-508.50,16.42,-913.31,1,16
-479.26,16.65,-913.53,1,17
-450.01,17.02,-913.74,1,18
-420.77,15.80,-913.96,1,19
-391.52,15.80,-914.18,1,20
-362.28,16.77,-914.39,1,21
-333.03,18.26,-914.61,1,22
-303.79,17.41,-914.82,1,23
-274.55,18.00,-915.04,1,24
-245.30,18.11,-915.25,1,25
-216.06,18.67,-915.47,1,26
-186.81,19.55,-915.69,1,27
-157.57,20.98,-915.90,1,28
-128.32,22.31,-916.12,1,29
-99.08,22.85,-916.33,1,30
-69.83,22.58,-916.55,1,31
-40.59,22.97,-916.77,1,32
-11.35,24.14,-916.98,1,33
17.90,24.93,-917.20,1,34
47.14,24.81,-917.42,1,35
76.39,25.11,-917.63,1,36
105.63,26.57,-917.85,1,37
134.88,27.16,-918.06,1,38
164.12,27.58,-918.28,1,39
193.37,28.28,-918.50,1,40
222.61,28.67,-918.71,1,41
251.85,29.82,-918.93,1,42
281.10,30.85,-919.15,1,43
310.34,30.75,-919.36,1,44
339.59,31.52,-919.58,1,45
368.83,31.64,-919.80,1,46
398.08,32.12,-920.01,1,47
427.32,31.98,-920.23,1,48
456.57,32.68,-920.45,1,49
485.81,34.17,-920.66,1,50
515.05,32.47,-920.88,1,51
544.30,32.01,-921.10,1,52
573.54,32.09,-921.31,1,53
602.79,32.09,-921.53,1,54
632.03,32.04,-921.75,1,55
661.28,32.94,-921.96,1,56
690.52,33.82,-922.18,1,57
719.77,35.58,-922.40,1,58
749.01,33.67,-922.62,1,59
778.26,33.41,-922.83,1,60
807.50,33.43,-923.05,1,61
836.74,33.06,-923.27,1,62
865.99,32.74,-923.48,1,63
895.23,32.54,-923.70,1,64
924.48,32.00,-923.92,1,65
-976.19,0.00,-880.05,2,0
-946.95,0.00,-880.26,2,1
-917.70,0.00,-880.48,2,2
-888.46,0.00,-880.69,2,3
-859.21,0.00,-880.91,2,4
-829.97,0.00,-881.12,2,5
-800.72,0.00,-881.34,2,6
-771.48,0.00,-881.56,2,7
-742.24,0.00,-881.77,2,8
-712.99,0.00,-881.99,2,9
-683.75,12.24,-882.20,2,10
-654.50,12.25,-882.42,2,11
-625.26,15.21,-882.63,2,12
-596.01,16.12,-882.85,2,13
-566.77,16.02,-883.06,2,14
-537.53,16.18,-883.28,2,15
-508.28,16.41,-883.50,2,16
-479.04,16.46,-883.71,2,17
-449.79,15.26,-883.93,2,18
-420.55,15.61,-884.14,2,19
-391.30,15.61,-884.36,2,20
-362.06,16.55,-884.57,2,21
-332.81,16.54,-884.79,2,22
-303.57,16.53,-885.01,2,23
-274.33,17.62,-885.22,2,24
-245.08,16.84,-885.44,2,25
-215.84,17.62,-885.65,2,26
-186.59,19.15,-885.87,2,27
-157.35,20.94,-886.09,2,28
-128.10,21.29,-886.30,2,29
-98.86,21.92,-886.52,2,30
-69.61,21.98,-886.73,2,31
-40.37,22.58,-886.95,2,32
-11.13,23.59,-887.17,2,33
18.12,23.92,-887.38,2,34
47.36,24.56,-887.60,2,35
76.61,24.77,-887.82,2,36
105.85,25.54,-888.03,2,37
135.10,26.68,-888.25,2,38
164.34,27.22,-888.46,2,39
193.59,27.33,-888.68,2,40
222.83,28.40,-888.90,2,41
252.07,28.64,-889.11,2,42
281.32,30.49,-889.33,2,43
310.56,31.02,-889.55,2,44
339.81,30.75,-889.76,2,45
369.05,31.53,-889.98,2,46
398.30,32.40,-890.20,2,47
427.54,31.79,-890.41,2,48
456.79,32.06,-890.63,2,49
486.03,31.85,-890.85,2,50
515.28,32.13,-891.06,2,51
544.52,31.74,-891.28,2,52
573.76,31.85,-891.50,2,53
603.01,31.85,-891.71,2,54
632.25,31.79,-891.93,2,55
661.50,31.79,-892.15,2,56
690.74,32.72,-892.36,2,57
719.99,33.30,-892.58,2,58
749.23,32.94,-892.80,2,59
778.48,33.07,-893.02,2,60
807.72,32.98,-893.23,2,61
836.97,32.77,-893.45,2,62
866.21,32.40,-893.67,2,63
895.45,32.29,-893.88,2,64
924.70,31.97,-894.10,2,65
-975.97,0.00,-850.23,3,0
-946.73,0.00,-850.45,3,1
-917.48,0.00,-850.66,3,2
-888.24,0.00,-850.88,3,3
-858.99,0.00,-851.09,3,4
-829.75,0.00,-851.31,3,5
-800.51,0.00,-851.52,3,6
-771.26,0.00,-851.74,3,7
-742.02,0.00,-851.95,3,8
-712.77,0.00,-852.17,3,9
-683.53,12.24,-852.38,3,10
-654.28,12.25,-852.60,3,11
-625.04,15.21,-852.82,3,12
-595.79,16.12,-853.03,3,13
-566.55,16.02,-853.25,3,14
-537.31,16.18,-853.46,3,15
-508.06,16.41,-853.68,3,16
-478.82,16.46,-853.89,3,17
-449.57,15.26,-854.11,3,18
-420.33,15.61,-854.33,3,19
-391.08,15.61,-854.54,3,20
-361.84,16.55,-854.76,3,21
