x,y,z,row,col
-942.95,0.00,-892.90,0,0
-913.70,0.00,-893.11,0,1
-884.46,0.00,-893.32,0,2
-855.21,0.00,-893.53,0,3
-825.96,0.00,-893.74,0,4
-796.71,0.00,-893.96,0,5
-767.47,0.00,-894.17,0,6
-738.22,0.00,-894.38,0,7
-708.97,0.00,-894.59,0,8
-679.73,0.00,-894.80,0,9
-650.48,0.00,-895.02,0,10
-621.23,0.00,-895.23,0,11
-591.98,0.00,-895.44,0,12
-562.74,0.00,-895.65,0,13
-533.49,0.00,-895.86,0,14
-504.24,0.00,-896.08,0,15
-475.00,0.00,-896.29,0,16
-445.75,18.74,-896.50,0,17
-416.50,21.55,-896.71,0,18
-387.25,21.78,-896.93,0,19
-358.01,25.03,-897.14,0,20
-328.76,25.85,-897.35,0,21
-299.51,25.47,-897.56,0,22
-270.27,26.26,-897.78,0,23
-241.02,26.83,-897.99,0,24
-211.77,26.51,-898.20,0,25
-182.52,29.40,-898.41,0,26
-153.28,33.12,-898.63,0,27
-124.03,33.68,-898.84,0,28
-94.78,34.33,-899.05,0,29
-65.53,35.73,-899.26,0,30
-36.29,39.43,-899.48,0,31
-7.04,41.03,-899.69,0,32
22.21,41.81,-899.90,0,33
51.45,42.74,-900.12,0,34
80.70,42.57,-900.33,0,35
109.95,44.31,-900.54,0,36
139.20,47.73,-900.75,0,37
168.44,48.46,-900.97,0,38
197.69,53.53,-901.18,0,39
226.94,51.31,-901.39,0,40
256.18,45.05,-901.61,0,41
285.43,40.26,-901.82,0,42
314.68,29.58,-902.03,0,43
343.93,22.12,-902.25,0,44
373.17,11.89,-902.46,0,45
402.42,10.65,-902.67,0,46
431.67,5.64,-902.89,0,47
460.92,5.10,-903.10,0,48
490.16,5.10,-903.31,0,49
519.41,4.86,-903.53,0,50
548.66,4.72,-903.74,0,51
577.90,5.31,-903.95,0,52
607.15,5.17,-904.17,0,53
636.40,7.04,-904.38,0,54
665.65,7.31,-904.59,0,55
694.89,8.69,-904.81,0,56
724.14,8.22,-905.02,0,57
753.39,7.56,-905.23,0,58
782.64,7.68,-905.45,0,59
811.88,7.08,-905.66,0,60
841.13,7.13,-905.87,0,61
870.38,6.93,-906.09,0,62
899.63,6.92,-906.30,0,63
-942.73,0.00,-863.08,1,0
-913.49,0.00,-863.29,1,1
-884.24,0.00,-863.50,1,2
-854.99,0.00,-863.72,1,3
-825.74,0.00,-863.93,1,4
-796.50,0.00,-864.14,1,5
-767.25,0.00,-864.35,1,6
-738.00,0.00,-864.56,1,7
-708.76,0.00,-864.78,1,8
-679.51,0.00,-864.99,1,9
-650.26,0.00,-865.20,1,10
-621.01,0.00,-865.41,1,11
-591.77,0.00,-865.62,1,12
-562.52,0.00,-865.84,1,13
-533.27,0.00,-866.05,1,14
-504.03,0.00,-866.26,1,15
-474.78,0.00,-866.47,1,16
-445.53,18.74,-866.68,1,17
-416.28,19.09,-866.90,1,18
-387.04,22.73,-867.11,1,19
-357.79,26.09,-867.32,1,20
-328.54,26.60,-867.53,1,21
-299.30,25.63,-867.75,1,22
-270.05,26.97,-867.96,1,23
-240.80,26.53,-868.17,1,24
-211.55,27.08,-868.38,1,25
-182.31,28.67,-868.60,1,26
-153.06,31.14,-868.81,1,27
-123.81,32.54,-869.02,1,28
-94.57,34.54,-869.23,1,29
-65.32,35.17,-869.45,1,30
-36.07,37.95,-869.66,1,31
-6.82,40.30,-869.87,1,32
22.42,41.75,-870.09,1,33
51.67,42.02,-870.30,1,34
80.92,43.56,-870.51,1,35
110.17,48.30,-870.72,1,36
139.41,49.29,-870.94,1,37
168.66,54.72,-871.15,1,38
197.91,52.56,-871.36,1,39
227.15,54.51,-871.58,1,40
256.40,49.62,-871.79,1,41
285.65,45.89,-872.00,1,42
314.90,37.48,-872.22,1,43
344.14,30.66,-872.43,1,44
373.39,22.67,-872.64,1,45
402.64,13.25,-872.86,1,46
431.89,7.06,-873.07,1,47
461.13,4.65,-873.28,1,48
490.38,4.65,-873.50,1,49
519.63,4.71,-873.71,1,50
548.88,5.04,-873.92,1,51
578.12,5.00,-874.14,1,52
607.37,5.38,-874.35,1,53
636.62,6.67,-874.56,1,54
665.86,7.63,-874.78,1,55
695.11,6.88,-874.99,1,56
724.36,7.84,-875.20,1,57
753.61,8.10,-875.42,1,58
782.85,7.51,-875.63,1,59
812.10,7.32,-875.84,1,60
841.35,7.23,-876.06,1,61
870.60,6.89,-876.27,1,62
899.84,6.84,-876.48,1,63
-942.52,0.00,-833.26,2,0
-913.27,0.00,-833.48,2,1
-884.02,0.00,-833.69,2,2
-854.78,0.00,-833.90,2,3
-825.53,0.00,-834.11,2,4
-796.28,0.00,-834.32,2,5
-767.03,0.00,-834.53,2,6
-737.79,0.00,-834.75,2,7
-708.54,0.00,-834.96,2,8
-679.29,0.00,-835.17,2,9
-650.05,0.00,-835.38,2,10
-620.80,0.00,-835.59,2,11
-591.55,0.00,-835.81,2,12
-562.30,0.00,-836.02,2,13
-533.06,0.00,-836.23,2,14
-503.81,0.00,-836.44,2,15
-474.56,0.00,-836.66,2,16
-445.32,18.74,-836.87,2,17
-416.07,19.09,-837.08,2,18
-386.82,22.73,-837.29,2,19
-357.57,26.09,-837.51,2,20
-328.33,26.60,-837.72,2,21
-299.08,25.63,-837.93,2,22
-269.83,26.97,-838.14,2,23
-240.58,26.53,-838.36,2,24
-211.34,27.08,-838.57,2,25
-182.09,28.67,-838.78,2,26
-152.84,31.14,-838.99,2,27
-123.60,32.54,-839.21,2,28
-94.35,34.54,-839.42,2,29
-65.10,35.17,-839.63,2,30
-35.85,37.95,-839.84,2,31
-6.61,40.30,-840.06,2,32
22.64,41.75,-840.27,2,33
51.89,42.02,-840.48,2,34
81.14,43.56,-840.70,2,35
110.38,48.30,-840.91,2,36
139.63,49.29,-841.12,2,37
168.88,54.72,-841.33,2,38
198.12,52.56,-841.55,2,39
227.37,54.51,-841.76,2,40
256.62,49.62,-841.97,2,41
285.87,45.89,-842.19,2,42
315.11,37.48,-842.40,2,43
344.36,30.66,-842.61,2,44
373.61,22.67,-842.83,2,45
402.86,13.25,-843.04,2,46
432.10,7.06,-843.25,2,47
461.35,4.65,-843.47,2,48
