x,y,z
-1010.52,0.00,-1003.39
-981.28,0.00,-1003.39
-952.04,0.00,-1003.39
-922.80,0.00,-1003.39
-893.56,0.00,-1003.39
-864.32,0.00,-1003.39
-835.08,0.00,-1003.39
-805.84,0.00,-1003.39
-776.60,0.00,-1003.39
-747.36,0.00,-1003.39
-718.12,0.00,-1003.39
-688.88,0.00,-1003.39
-659.64,0.00,-1003.39
-630.40,0.00,-1003.39
-601.16,0.00,-1003.39
-571.92,0.00,-1003.39
-542.69,0.00,-1003.39
-513.45,0.00,-1003.39
-484.21,0.00,-1003.39
-454.97,0.00,-1003.39
-425.73,0.00,-1003.39
-396.49,0.00,-1003.39
-367.25,0.00,-1003.39
-338.01,0.00,-1003.39
-308.77,0.00,-1003.39
-279.53,0.00,-1003.39
-250.29,1.00,-1003.39
-221.05,1.00,-1003.39
-191.81,8.00,-1003.39
-162.57,12.00,-1003.39
-133.33,13.00,-1003.39
-104.09,13.00,-1003.39
-74.85,14.00,-1003.39
-45.61,14.00,-1003.39
-16.38,13.00,-1003.39
12.86,13.00,-1003.39
42.10,15.00,-1003.39
71.34,13.00,-1003.39
100.58,11.00,-1003.39
129.82,12.00,-1003.39
159.06,17.00,-1003.39
188.30,21.00,-1003.39
217.54,21.00,-1003.39
246.78,21.00,-1003.39
276.02,18.00,-1003.39
305.26,13.00,-1003.39
334.50,9.00,-1003.39
363.74,10.00,-1003.39
392.98,11.00,-1003.39
422.22,11.00,-1003.39
451.46,11.00,-1003.39
480.69,11.00,-1003.39
509.93,11.00,-1003.39
539.17,10.00,-1003.39
568.41,11.00,-1003.39
597.65,13.00,-1003.39
626.89,14.00,-1003.39
656.13,12.00,-1003.39
685.37,12.00,-1003.39
714.61,11.00,-1003.39
743.85,11.00,-1003.39
773.09,12.00,-1003.39
802.33,13.00,-1003.39
831.57,14.00,-1003.39
860.81,14.00,-1003.39
890.05,14.00,-1003.39
919.29,14.00,-1003.39
948.53,14.00,-1003.39
977.77,14.00,-1003.39
-1010.52,0.00,-973.39
-981.28,0.00,-973.39
-952.04,0.00,-973.39
-922.80,0.00,-973.39
-893.56,0.00,-973.39
-864.32,0.00,-973.39
-835.08,0.00,-973.39
-805.84,0.00,-973.39
-776.60,0.00,-973.39
-747.36,0.00,-973.39
-718.12,0.00,-973.39
-688.88,0.00,-973.39
-659.64,0.00,-973.39
-630.40,0.00,-973.39
-601.16,0.00,-973.39
-571.92,0.00,-973.39
-542.69,0.00,-973.39
-513.45,0.00,-973.39
-484.21,0.00,-973.39
-454.97,0.00,-973.39
-425.73,0.00,-973.39
-396.49,0.00,-973.39
-367.25,0.00,-973.39
-338.01,0.00,-973.39
-308.77,0.00,-973.39
-279.53,5.00,-973.39
