x,y,z
-1521.54,0.0,-1568.9
-1492.3,0.0,-1568.9
-1463.06,0.0,-1568.9
-1433.82,0.0,-1568.9
-1404.58,0.0,-1568.9
-1375.34,0.0,-1568.9
-1346.1,0.0,-1568.9
-1316.86,0.0,-1568.9
-1287.62,0.0,-1568.9
-1258.39,0.0,-1568.9
-1229.15,0.0,-1568.9
-1199.91,0.0,-1568.9
-1170.67,0.0,-1568.9
-1141.43,0.0,-1568.9
-1112.19,0.0,-1568.9
-1082.95,0.0,-1568.9
-1053.71,0.0,-1568.9
-1024.47,0.0,-1568.9
-995.23,0.0,-1568.9
-965.99,0.0,-1568.9
-936.75,0.0,-1568.9
-907.51,0.0,-1568.9
-878.27,0.0,-1568.9
-849.03,0.0,-1568.9
-819.79,0.0,-1568.9
-790.55,0.0,-1568.9
-761.32,0.0,-1568.9
-732.08,0.0,-1568.9
-702.84,0.0,-1568.9
-673.6,0.0,-1568.9
-644.36,0.0,-1568.9
-615.12,0.0,-1568.9
-585.88,0.0,-1568.9
-556.64,0.0,-1568.9
-527.4,0.0,-1568.9
-498.16,0.0,-1568.9
-468.92,0.0,-1568.9
-439.68,0.0,-1568.9
-410.44,0.0,-1568.9
-381.2,0.0,-1568.9
-351.96,0.0,-1568.9
-322.72,0.0,-1568.9
-293.48,0.0,-1568.9
-264.24,0.0,-1568.9
-235.01,0.0,-1568.9
-205.77,0.0,-1568.9
-176.53,0.0,-1568.9
-147.29,0.0,-1568.9
-118.05,0.0,-1568.9
-88.81,0.0,-1568.9
-59.57,0.0,-1568.9
-30.33,0.0,-1568.9
-1.09,0.0,-1568.9
28.15,0.0,-1568.9
57.39,0.0,-1568.9
86.63,0.0,-1568.9
115.87,0.0,-1568.9
145.11,0.0,-1568.9
174.35,0.0,-1568.9
203.59,0.0,-1568.9
232.83,0.0,-1568.9
262.07,0.0,-1568.9
291.3,0.0,-1568.9
320.54,0.0,-1568.9
349.78,0.0,-1568.9
379.02,0.0,-1568.9
408.26,0.0,-1568.9
437.5,0.0,-1568.9
466.74,0.0,-1568.9
495.98,0.0,-1568.9
525.22,0.0,-1568.9
554.46,0.0,-1568.9
583.7,0.0,-1568.9
612.94,0.0,-1568.9
642.18,0.0,-1568.9
671.42,0.0,-1568.9
700.66,0.0,-1568.9
729.9,0.0,-1568.9
759.14,0.0,-1568.9
788.37,0.0,-1568.9
817.61,0.0,-1568.9
846.85,0.0,-1568.9
876.09,0.0,-1568.9
905.33,0.0,-1568.9
934.57,0.0,-1568.9
963.81,0.0,-1568.9
993.05,0.0,-1568.9
1022.29,0.0,-1568.9
1051.53,0.0,-1568.9
1080.77,0.0,-1568.9
1110.01,0.0,-1568.9
1139.25,9.0,-1568.9
1168.49,11.0,-1568.9
1197.73,13.0,-1568.9
1226.97,15.0,-1568.9
1256.21,17.0,-1568.9
1285.45,17.0,-1568.9
1314.68,18.0,-1568.9
1343.92,18.0,-1568.9
1373.16,18.0,-1568.9
1402.4,21.0,-1568.9
1431.64,21.0,-1568.9
1460.88,21.0,-1568.9
1490.12,20.0,-1568.9
1519.36,19.0,-1568.9
-1521.54,0.0,-1538.9
-1492.3,0.0,-1538.9
-1463.06,0.0,-1538.9
-1433.82,0.0,-1538.9
-1404.58,0.0,-1538.9
-1375.34,0.0,-1538.9
-1346.1,0.0,-1538.9
-1316.86,0.0,-1538.9
-1287.62,0.0,-1538.9
-1258.39,0.0,-1538.9
-1229.15,0.0,-1538.9
-1199.91,0.0,-1538.9
-1170.67,0.0,-1538.9
-1141.43,0.0,-1538.9
-1112.19,0.0,-1538.9
-1082.95,0.0,-1538.9
-1053.71,0.0,-1538.9
-1024.47,0.0,-1538.9
-995.23,0.0,-1538.9
-965.99,0.0,-1538.9
-936.75,0.0,-1538.9
-907.51,0.0,-1538.9
-878.27,0.0,-1538.9
-849.03,0.0,-1538.9
-819.79,0.0,-1538.9
-790.55,0.0,-1538.9
-761.32,0.0,-1538.9
-732.08,0.0,-1538.9
-702.84,0.0,-1538.9
-673.6,0.0,-1538.9
-644.36,0.0,-1538.9
-615.12,0.0,-1538.9
-585.88,0.0,-1538.9
-556.64,0.0,-1538.9
-527.4,0.0,-1538.9
-498.16,0.0,-1538.9
-468.92,0.0,-1538.9
-439.68,0.0,-1538.9
-410.44,0.0,-1538.9
-381.2,0.0,-1538.9
-351.96,0.0,-1538.9
-322.72,0.0,-1538.9
-293.48,0.0,-1538.9
-264.24,0.0,-1538.9
-235.01,0.0,-1538.9
-205.77,0.0,-1538.9
-176.53,0.0,-1538.9
-147.29,0.0,-1538.9
-118.05,0.0,-1538.9
-88.81,0.0,-1538.9
-59.57,0.0,-1538.9
-30.33,0.0,-1538.9
-1.09,0.0,-1538.9
28.15,0.0,-1538.9
57.39,0.0,-1538.9
86.63,0.0,-1538.9
115.87,0.0,-1538.9
145.11,0.0,-1538.9
174.35,0.0,-1538.9
203.59,0.0,-1538.9
232.83,0.0,-1538.9
262.07,0.0,-1538.9
291.3,0.0,-1538.9
320.54,0.0,-1538.9
349.78,0.0,-1538.9
379.02,0.0,-1538.9
408.26,0.0,-1538.9
437.5,0.0,-1538.9
466.74,0.0,-1538.9
495.98,0.0,-1538.9
525.22,0.0,-1538.9
554.46,0.0,-1538.9
583.7,0.0,-1538.9
612.94,0.0,-1538.9
642.18,0.0,-1538.9
671.42,0.0,-1538.9
700.66,0.0,-1538.9
729.9,0.0,-1538.9
759.14,0.0,-1538.9
788.37,0.0,-1538.9
817.61,0.0,-1538.9
846.85,0.0,-1538.9
876.09,0.0,-1538.9
905.33,0.0,-1538.9
934.57,0.0,-1538.9
963.81,0.0,-1538.9
993.05,0.0,-1538.9
1022.29,0.0,-1538.9
1051.53,0.0,-1538.9
1080.77,0.0,-1538.9
1110.01,0.0,-1538.9
1139.25,8.0,-1538.9
1168.49,12.0,-1538.9
1197.73,15.0,-1538.9
1226.97,19.0,-1538.9
1256.21,17.0,-1538.9
1285.45,17.0,-1538.9
1314.68,17.0,-1538.9
1343.92,16.0,-1538.9
1373.16,16.0,-1538.9
1402.4,18.0,-1538.9
1431.64,20.0,-1538.9
1460.88,20.0,-1538.9
1490.12,18.0,-1538.9
1519.36,17.0,-1538.9
