x,y,z
-4361.10,0.00,-4453.40
-4331.87,0.00,-4453.40
-4302.63,0.00,-4453.40
-4273.39,0.00,-4453.40
-4244.15,0.00,-4453.40
-4214.91,0.00,-4453.40
-4185.67,0.00,-4453.40
-4156.43,0.00,-4453.40
-4127.19,0.00,-4453.40
-4097.95,0.00,-4453.40
-4068.71,0.00,-4453.40
-4039.47,0.00,-4453.40
-4010.23,0.00,-4453.40
-3980.99,0.00,-4453.40
-3951.75,0.00,-4453.40
-3922.51,0.00,-4453.40
-3893.27,0.00,-4453.40
-3864.03,0.00,-4453.40
-3834.79,0.00,-4453.40
-3805.56,0.00,-4453.40
-3776.32,0.00,-4453.40
-3747.08,0.00,-4453.40
-3717.84,0.00,-4453.40
-3688.60,0.00,-4453.40
-3659.36,0.00,-4453.40
-3630.12,0.00,-4453.40
-3600.88,0.00,-4453.40
-3571.64,0.00,-4453.40
-3542.40,0.00,-4453.40
-3513.16,0.00,-4453.40
-3483.92,0.00,-4453.40
-3454.68,0.00,-4453.40
-3425.44,0.00,-4453.40
-3396.20,0.00,-4453.40
-3366.96,0.00,-4453.40
-3337.72,0.00,-4453.40
-3308.48,0.00,-4453.40
-3279.25,0.00,-4453.40
-3250.01,0.00,-4453.40
-3220.77,0.00,-4453.40
-3191.53,0.00,-4453.40
-3162.29,0.00,-4453.40
-3133.05,0.00,-4453.40
-3103.81,0.00,-4453.40
-3074.57,0.00,-4453.40
-3045.33,0.00,-4453.40
-3016.09,0.00,-4453.40
-2986.85,0.00,-4453.40
-2957.61,0.00,-4453.40
-2928.37,0.00,-4453.40
-2899.13,0.00,-4453.40
-2869.89,0.00,-4453.40
-2840.65,0.00,-4453.40
-2811.41,0.00,-4453.40
-2782.18,0.00,-4453.40
-2752.94,0.00,-4453.40
-2723.70,0.00,-4453.40
-2694.46,0.00,-4453.40
-2665.22,0.00,-4453.40
-2635.98,0.00,-4453.40
-2606.74,0.00,-4453.40
-2577.50,0.00,-4453.40
-2548.26,0.00,-4453.40
-2519.02,0.00,-4453.40
-2489.78,0.00,-4453.40
-2460.54,0.00,-4453.40
-2431.30,0.00,-4453.40
-2402.06,0.00,-4453.40
-2372.82,0.00,-4453.40
-2343.58,0.00,-4453.40
-2314.34,0.00,-4453.40
-2285.10,0.00,-4453.40
-2255.87,0.00,-4453.40
-2226.63,0.00,-4453.40
-2197.39,0.00,-4453.40
-2168.15,0.00,-4453.40
-2138.91,0.00,-4453.40
-2109.67,0.00,-4453.40
-2080.43,0.00,-4453.40
-2051.19,0.00,-4453.40
-2021.95,0.00,-4453.40
-1992.71,0.00,-4453.40
-1963.47,0.00,-4453.40
-1934.23,0.00,-4453.40
-1904.99,0.00,-4453.40
-1875.75,0.00,-4453.40
-1846.51,0.00,-4453.40
-1817.27,0.00,-4453.40
-1788.03,0.00,-4453.40
-1758.80,0.00,-4453.40
-1729.56,0.00,-4453.40
-1700.32,0.00,-4453.40
-1671.08,0.00,-4453.40
-1641.84,0.00,-4453.40
-1612.60,0.00,-4453.40
-1583.36,0.00,-4453.40
-1554.12,0.00,-4453.40
-1524.88,0.00,-4453.40
-1495.64,0.00,-4453.40
